timestamp,open,high,low,close,volume
2023-05-11,1842.26,1842.67,1775.51,1796.2,1139.8826
2023-05-12,1795.72,1816.18,1741.77,1807.22,985.0216
2023-05-13,1807.54,1816.15,1787.94,1796.1,313.023
2023-05-14,1795.57,1823.82,1791.46,1799.97,280.8208
2023-05-15,1800.7,1846.28,1786.95,1817.41,502.3369
2023-05-16,1818.21,1832.05,1797.97,1823.89,450.8532
2023-05-17,1824.16,1836.55,1784.64,1821.75,451.97
2023-05-18,1821.9,1831.47,1773.22,1800.87,452.9376
2023-05-19,1800.79,1828.71,1797.76,1812.09,403.1919
2023-05-20,1812.87,1828.41,1808.19,1819.94,159.7265
2023-05-21,1820.09,1827.99,1799.13,1804.94,233.0192
2023-05-22,1805.77,1827.83,1792.83,1817.71,342.634
2023-05-23,1818.83,1870.77,1816.2,1853.63,542.9863
2023-05-24,1853.83,1853.83,1778.43,1800.06,664.9123
2023-05-25,1800.05,1817.01,1762.46,1805.99,541.9584
2023-05-26,1806.22,1837.96,1797.26,1828.64,419.0561
2023-05-27,1827.86,1836.05,1815.23,1831.04,216.4014
2023-05-28,1830.08,1921.42,1825.04,1908.89,621.4405
2023-05-29,1908.89,1927.31,1875.6,1893.28,476.3268
2023-05-30,1894.09,1916.46,1883.18,1901.52,560.2547
2023-05-31,1900.08,1906.81,1850.0,1874.33,559.8707
2023-06-01,1874.79,1888.42,1841.0,1862.06,459.7277
2023-06-02,1861.89,1909.99,1850.16,1907.32,329.9569
2023-06-03,1907.36,1907.9,1883.1,1892.61,113.7166
2023-06-04,1892.46,1913.68,1885.79,1890.7,105.2489
2023-06-05,1889.68,1890.96,1781.01,1810.94,410.9471
2023-06-06,1811.27,1909.13,1799.41,1885.07,301.9762
2023-06-07,1884.68,1896.15,1822.52,1833.29,376.386
2023-06-08,1833.17,1860.37,1829.44,1847.7,121.7609
2023-06-09,1846.09,1854.04,1828.38,1840.46,100.9453
2023-06-10,1838.35,1844.08,1715.0,1752.33,1456.0992
2023-06-11,1752.76,1777.34,1742.05,1753.6,109.0659
2023-06-12,1753.12,1758.59,1722.81,1742.81,166.623
2023-06-13,1743.1,1767.75,1725.82,1739.62,216.2994
2023-06-14,1739.56,1749.05,1631.9,1650.98,386.177
2023-06-15,1650.23,1677.31,1624.03,1665.44,395.6913
2023-06-16,1663.84,1726.96,1649.57,1715.28,243.7255
2023-06-17,1717.13,1765.14,1714.68,1727.75,169.0121
2023-06-18,1726.92,1746.95,1714.28,1720.85,106.6102
2023-06-19,1721.0,1749.67,1697.62,1736.1,185.3527
2023-06-20,1736.11,1795.93,1713.68,1791.79,275.4016
2023-06-21,1791.34,1901.12,1788.22,1891.55,484.9544
2023-06-22,1889.15,1932.31,1867.6,1873.46,261.6137
2023-06-23,1873.61,1936.13,1863.0,1891.95,249.7835
2023-06-24,1888.89,1906.37,1866.35,1877.45,104.0636
2023-06-25,1876.56,1929.71,1872.06,1898.21,110.4635
2023-06-26,1897.47,1907.82,1838.83,1860.74,200.4505
2023-06-27,1858.64,1912.18,1855.77,1891.43,142.3628
2023-06-28,1887.48,1887.48,1818.83,1828.57,124.5183
2023-06-29,1828.85,1878.97,1828.09,1853.05,117.9561
2023-06-30,1852.03,1945.82,1826.42,1934.16,278.7448
2023-07-01,1932.48,1942.96,1909.43,1924.54,211.643
2023-07-02,1924.01,1959.0,1889.55,1937.29,164.7978
2023-07-03,1938.67,1975.61,1934.41,1954.88,276.5751
2023-07-04,1953.17,1966.65,1932.4,1936.13,205.6412
2023-07-05,1936.54,1942.1,1895.66,1911.01,122.4637
2023-07-06,1908.75,1957.31,1847.57,1847.57,155.1269
2023-07-07,1846.38,1877.27,1827.97,1869.76,99.5759
2023-07-08,1869.62,1872.22,1844.25,1865.39,95.2309
2023-07-09,1863.48,1879.6,1857.78,1862.76,60.8529
2023-07-10,1858.12,1903.9,1847.88,1880.74,107.9602
2023-07-11,1878.45,1890.95,1863.62,1878.72,80.8563
2023-07-12,1879.28,1900.34,1864.66,1872.7,85.316
2023-07-13,1872.02,2011.82,1862.79,2007.48,219.8299
2023-07-14,2004.91,2029.4,1901.09,1938.06,241.6354
2023-07-15,1933.84,1946.93,1927.44,1931.85,73.0043
2023-07-16,1931.87,1943.68,1917.32,1923.39,84.5773
2023-07-17,1924.28,1936.66,1875.0,1912.71,155.3775
2023-07-18,1911.23,1916.63,1879.34,1897.63,59.0156
2023-07-19,1896.23,1922.45,1882.47,1890.23,63.0022
2023-07-20,1888.65,1928.93,1879.27,1890.85,96.2146
2023-07-21,1890.41,1903.72,1884.94,1892.73,30.2115
2023-07-22,1892.71,1896.65,1854.43,1865.16,103.5142
2023-07-23,1865.94,1904.56,1859.01,1889.33,109.6566
2023-07-24,1888.19,1890.16,1835.22,1850.38,167.7381
2023-07-25,1850.46,1867.18,1845.66,1857.1,61.7114
2023-07-26,1857.26,1886.81,1848.04,1870.95,196.3057
2023-07-27,1871.42,1885.84,1854.8,1859.47,66.6636
2023-07-28,1860.56,1880.98,1856.41,1875.36,46.8524
2023-07-29,1873.37,1884.89,1869.95,1881.76,41.4755
2023-07-30,1880.79,1883.99,1850.16,1861.39,45.2041
2023-07-31,1861.05,1876.35,1851.12,1856.64,219.1244
2023-08-01,1855.35,1873.45,1814.5,1873.45,164.5032
2023-08-02,1873.83,1877.5,1821.48,1839.41,86.1365
2023-08-03,1838.62,1855.26,1826.76,1836.77,81.4964
2023-08-04,1834.47,1848.9,1806.24,1827.78,69.6324
2023-08-05,1828.04,1836.63,1826.08,1836.23,96.6828
2023-08-06,1834.59,1836.78,1824.24,1827.13,77.3396
2023-08-07,1828.47,1843.13,1802.77,1826.4,114.3099
2023-08-08,1826.49,1875.01,1824.32,1855.92,144.0776
2023-08-09,1857.92,1870.55,1845.96,1856.2,134.2294
2023-08-10,1853.78,1863.48,1843.79,1849.65,60.3226
2023-08-11,1850.63,1855.16,1836.92,1847.75,94.6221
2023-08-12,1847.12,1852.03,1845.09,1848.89,91.5586
2023-08-13,1848.66,1859.32,1834.26,1839.17,49.9447
2023-08-14,1839.16,1853.36,1833.77,1842.89,105.3825
2023-08-15,1843.22,1845.53,1812.7,1826.16,124.3035
2023-08-16,1827.83,1828.88,1796.02,1807.04,91.2569
2023-08-17,1805.32,1807.09,1553.8,1681.6,512.0186
2023-08-18,1680.92,1697.93,1642.1,1661.17,222.5785
