timestamp,open,high,low,close,volume
2023-12-28,103.32,153.41,36.0,101.94,1305.53
2023-12-29,101.95,109.91,99.67,106.22,4346.07
2023-12-30,105.6,107.01,100.79,101.69,2331.65
2023-12-31,102.08,105.02,99.12,101.62,2325.56
2024-01-01,101.55,109.73,101.4,109.73,1765.76
2024-01-02,109.99,117.34,106.62,106.69,3816.62
2024-01-03,106.87,110.88,82.8,98.67,13048.78
2024-01-04,98.34,108.0,96.78,105.11,3311.77
2024-01-05,105.23,110.93,93.7,100.12,21926.23
2024-01-06,100.02,104.88,90.0,93.95,15027.78
2024-01-07,93.84,96.68,87.12,89.31,12367.96
2024-01-08,89.31,101.51,85.0,97.95,12687.76
2024-01-09,97.85,106.0,95.0,99.31,13107.63
2024-01-10,99.34,105.46,87.1,102.09,15520.01
2024-01-11,102.12,107.48,97.74,99.86,17307.62
2024-01-12,99.86,100.42,86.47,92.06,14719.0
2024-01-13,92.06,97.01,89.52,95.8,5611.07
2024-01-14,95.9,102.72,93.66,93.85,4808.63
2024-01-15,94.12,96.71,93.24,94.31,5152.2
2024-01-16,94.62,98.69,94.18,97.57,10528.09
2024-01-17,97.8,102.58,96.62,102.06,38124.52
2024-01-18,102.14,103.44,91.32,94.27,37861.38
2024-01-19,94.21,95.28,86.97,93.54,30395.52
2024-01-20,93.54,94.17,90.17,92.82,16677.84
2024-01-21,92.74,93.84,90.28,91.02,11976.95
2024-01-22,91.0,91.78,82.0,83.75,50922.11
2024-01-23,83.72,85.87,78.91,84.27,91791.52
2024-01-24,84.23,89.33,83.27,88.74,31998.98
2024-01-25,88.69,89.54,85.09,86.76,26156.34
2024-01-26,86.71,93.68,86.0,92.25,24311.0
2024-01-27,92.12,94.46,90.7,94.26,20106.4
2024-01-28,94.23,99.47,93.34,95.96,25675.08
2024-01-29,95.97,101.91,95.08,101.66,37465.85
2024-01-30,101.72,106.38,100.98,101.35,47787.36
2024-01-31,101.42,102.57,95.0,96.96,77861.12
2024-02-01,96.98,98.02,93.04,97.84,41988.23
2024-02-02,97.75,102.45,97.4,100.53,36096.08
2024-02-03,100.64,101.07,96.55,97.91,15738.25
2024-02-04,97.92,98.48,95.08,95.37,14805.1
2024-02-05,95.45,98.56,94.15,95.52,20807.1
2024-02-06,95.5,97.82,92.68,96.85,25349.41
2024-02-07,96.86,101.5,94.58,100.98,19605.08
2024-02-08,101.12,104.97,100.58,102.75,27315.41
2024-02-09,102.9,109.14,102.9,106.99,36521.59
2024-02-10,106.97,110.91,106.94,109.11,15639.27
2024-02-11,109.03,110.71,107.12,107.5,9288.16
2024-02-12,107.42,112.22,103.42,111.91,25607.11
2024-02-13,111.7,115.18,108.36,112.56,21729.23
2024-02-14,112.5,118.7,110.75,117.04,20086.77
2024-02-15,117.08,118.71,111.63,113.67,24853.62
2024-02-16,113.63,114.31,108.19,110.45,20571.02
2024-02-17,110.38,111.13,105.65,108.98,16286.96
2024-02-18,108.97,114.01,107.57,112.22,11011.6
2024-02-19,112.27,114.8,110.91,111.58,16655.78
2024-02-20,111.56,112.11,100.0,108.32,29104.37
2024-02-21,108.35,108.41,100.17,105.06,35102.65
2024-02-22,105.08,107.05,101.5,101.66,29072.4
2024-02-23,101.68,103.05,98.47,99.87,26181.44
2024-02-24,99.89,104.81,98.47,104.03,20249.61
