timestamp,open,high,low,close,volume,pair,bid,ask,spread
2023-05-11,1842.26,1842.67,1775.51,1796.2,1139.8826,ETH/DAI,2350.96,2353.42,2.4600000000000364
2023-05-12,1795.72,1816.18,1741.77,1807.22,985.0216,ETH/DAI,2346.41,2354.34,7.930000000000291
2023-05-13,1807.54,1816.15,1787.94,1796.1,313.023,ETH/DAI,2348.86,2352.14,3.2799999999997453
2023-05-14,1795.57,1823.82,1791.46,1799.97,280.8208,ETH/DAI,2346.7,2354.17,7.470000000000255
2023-05-15,1800.7,1846.28,1786.95,1817.41,502.3369,ETH/DAI,2346.7,2354.17,7.470000000000255
2023-05-16,1818.21,1832.05,1797.97,1823.89,450.8532,ETH/DAI,2350.68,2351.0,0.3200000000001637
2023-05-17,1824.16,1836.55,1784.64,1821.75,451.97,ETH/DAI,2347.0,2354.01,7.010000000000218
2023-05-18,1821.9,1831.47,1773.22,1800.87,452.9376,ETH/DAI,2347.02,2353.93,6.9099999999998545
2023-05-19,1800.79,1828.71,1797.76,1812.09,403.1919,ETH/DAI,2347.15,2353.91,6.7599999999997635
2023-05-20,1812.87,1828.41,1808.19,1819.94,159.7265,ETH/DAI,2347.15,2353.91,6.7599999999997635
2023-05-21,1820.09,1827.99,1799.13,1804.94,233.0192,ETH/DAI,2347.24,2353.65,6.410000000000309
2023-05-22,1805.77,1827.83,1792.83,1817.71,342.634,ETH/DAI,2347.24,2353.65,6.410000000000309
2023-05-23,1818.83,1870.77,1816.2,1853.63,542.9863,ETH/DAI,2347.34,2353.57,6.230000000000018
2023-05-24,1853.83,1853.83,1778.43,1800.06,664.9123,ETH/DAI,2347.35,2353.5,6.150000000000091
2023-05-25,1800.05,1817.01,1762.46,1805.99,541.9584,ETH/DAI,2347.35,2353.5,6.150000000000091
2023-05-26,1806.22,1837.96,1797.26,1828.64,419.0561,ETH/DAI,2347.51,2353.46,5.949999999999818
2023-05-27,1827.86,1836.05,1815.23,1831.04,216.4014,ETH/DAI,2347.51,2353.46,5.949999999999818
2023-05-28,1830.08,1921.42,1825.04,1908.89,621.4405,ETH/DAI,2347.58,2353.33,5.75
2023-05-29,1908.89,1927.31,1875.6,1893.28,476.3268,ETH/DAI,2347.58,2353.33,5.75
2023-05-30,1894.09,1916.46,1883.18,1901.52,560.2547,ETH/DAI,2347.64,2351.59,3.950000000000273
2023-05-31,1900.08,1906.81,1850.0,1874.33,559.8707,ETH/DAI,2347.71,2351.59,3.880000000000109
2023-06-01,1874.79,1888.42,1841.0,1862.06,459.7277,ETH/DAI,2347.71,2351.59,3.880000000000109
2023-06-02,1861.89,1909.99,1850.16,1907.32,329.9569,ETH/DAI,2347.74,2351.57,3.830000000000382
2023-06-03,1907.36,1907.9,1883.1,1892.61,113.7166,ETH/DAI,2347.81,2351.57,3.7600000000002183
2023-06-04,1892.46,1913.68,1885.79,1890.7,105.2489,ETH/DAI,2347.81,2351.57,3.7600000000002183
2023-06-05,1889.68,1890.96,1781.01,1810.94,410.9471,ETH/DAI,2347.9,2353.29,5.389999999999873
2023-06-06,1811.27,1909.13,1799.41,1885.07,301.9762,ETH/DAI,2347.99,2353.27,5.2800000000002
2023-06-07,1884.68,1896.15,1822.52,1833.29,376.386,ETH/DAI,2348.05,2353.2,5.149999999999636
2023-06-08,1833.17,1860.37,1829.44,1847.7,121.7609,ETH/DAI,2348.05,2353.2,5.149999999999636
2023-06-09,1846.09,1854.04,1828.38,1840.46,100.9453,ETH/DAI,2348.17,2353.18,5.0099999999997635
2023-06-10,1838.35,1844.08,1715.0,1752.33,1456.0992,ETH/DAI,2348.17,2353.18,5.0099999999997635
2023-06-11,1752.76,1777.34,1742.05,1753.6,109.0659,ETH/DAI,2348.22,2353.14,4.920000000000073
2023-06-12,1753.12,1758.59,1722.81,1742.81,166.623,ETH/DAI,2348.29,2353.12,4.829999999999927
2023-06-13,1743.1,1767.75,1725.82,1739.62,216.2994,ETH/DAI,2351.01,2353.11,2.099999999999909
2023-06-14,1739.56,1749.05,1631.9,1650.98,386.177,ETH/DAI,2351.01,2353.11,2.099999999999909
2023-06-15,1650.23,1677.31,1624.03,1665.44,395.6913,ETH/DAI,2349.85,2351.69,1.8400000000001455
2023-06-16,1663.84,1726.96,1649.57,1715.28,243.7255,ETH/DAI,2348.54,2353.07,4.5300000000002
2023-06-17,1717.13,1765.14,1714.68,1727.75,169.0121,ETH/DAI,2348.54,2353.07,4.5300000000002
2023-06-18,1726.92,1746.95,1714.28,1720.85,106.6102,ETH/DAI,2349.96,2353.05,3.0900000000001455
2023-06-19,1721.0,1749.67,1697.62,1736.1,185.3527,ETH/DAI,2349.96,2353.05,3.0900000000001455
2023-06-20,1736.11,1795.93,1713.68,1791.79,275.4016,ETH/DAI,2348.71,2353.04,4.329999999999927
2023-06-21,1791.34,1901.12,1788.22,1891.55,484.9544,ETH/DAI,2348.71,2353.04,4.329999999999927
2023-06-22,1889.15,1932.31,1867.6,1873.46,261.6137,ETH/DAI,2348.91,2354.84,5.930000000000291
2023-06-23,1873.61,1936.13,1863.0,1891.95,249.7835,ETH/DAI,2348.91,2354.84,5.930000000000291
2023-06-24,1888.89,1906.37,1866.35,1877.45,104.0636,ETH/DAI,2350.73,2354.78,4.050000000000182
2023-06-25,1876.56,1929.71,1872.06,1898.21,110.4635,ETH/DAI,2349.12,2354.76,5.640000000000327
2023-06-26,1897.47,1907.82,1838.83,1860.74,200.4505,ETH/DAI,2349.12,2354.76,5.640000000000327
2023-06-27,1858.64,1912.18,1855.77,1891.43,142.3628,ETH/DAI,2349.23,2354.71,5.480000000000018
2023-06-28,1887.48,1887.48,1818.83,1828.57,124.5183,ETH/DAI,2349.23,2354.71,5.480000000000018
2023-06-29,1828.85,1878.97,1828.09,1853.05,117.9561,ETH/DAI,2349.32,2354.66,5.339999999999691
2023-06-30,1852.03,1945.82,1826.42,1934.16,278.7448,ETH/DAI,2350.0,2354.52,4.519999999999982
2023-07-01,1932.48,1942.96,1909.43,1924.54,211.643,ETH/DAI,2350.0,2354.52,4.519999999999982
2023-07-02,1924.01,1959.0,1889.55,1937.29,164.7978,ETH/DAI,2350.03,2354.48,4.449999999999818
2023-07-03,1938.67,1975.61,1934.41,1954.88,276.5751,ETH/DAI,2350.03,2354.48,4.449999999999818
2023-07-04,1953.17,1966.65,1932.4,1936.13,205.6412,ETH/DAI,2351.25,2354.43,3.1799999999998363
2023-07-05,1936.54,1942.1,1895.66,1911.01,122.4637,ETH/DAI,2351.25,2354.41,3.1599999999998545
2023-07-06,1908.75,1957.31,1847.57,1847.57,155.1269,ETH/DAI,2351.25,2354.41,3.1599999999998545
2023-07-07,1846.38,1877.27,1827.97,1869.76,99.5759,ETH/DAI,2351.25,2354.37,3.119999999999891
2023-07-08,1869.62,1872.22,1844.25,1865.39,95.2309,ETH/DAI,2351.25,2354.37,3.119999999999891
2023-07-09,1863.48,1879.6,1857.78,1862.76,60.8529,ETH/DAI,2346.78,2354.33,7.549999999999727
2023-07-10,1858.12,1903.9,1847.88,1880.74,107.9602,ETH/DAI,2351.17,2351.48,0.30999999999994543
2023-07-11,1878.45,1890.95,1863.62,1878.72,80.8563,ETH/DAI,2351.17,2351.48,0.30999999999994543
2023-07-12,1879.28,1900.34,1864.66,1872.7,85.316,ETH/DAI,2348.65,2352.22,3.569999999999709
2023-07-13,1872.02,2011.82,1862.79,2007.48,219.8299,ETH/DAI,2348.65,2352.22,3.569999999999709
2023-07-14,2004.91,2029.4,1901.09,1938.06,241.6354,ETH/DAI,2346.81,2353.49,6.679999999999836
2023-07-15,1933.84,1946.93,1927.44,1931.85,73.0043,ETH/DAI,2344.07,2353.41,9.33999999999969
2023-07-16,1931.87,1943.68,1917.32,1923.39,84.5773,ETH/DAI,2344.07,2353.41,9.33999999999969
