timestamp,open,high,low,close,volume,pair,bid,ask,spread
2023-05-11,1842.13,1843.18,1773.5,1795.45,3425.8296,ETH/USDC,2347.39,2347.59,0.20000000000027285
2023-05-12,1795.36,1817.4,1740.67,1808.4,12597.9699,ETH/USDC,2347.22,2347.48,0.2600000000002183
2023-05-13,1808.13,1816.88,1786.55,1796.11,1890.0357,ETH/USDC,2347.22,2347.48,0.2600000000002183
2023-05-14,1796.08,1824.45,1790.93,1800.13,1712.6737,ETH/USDC,2347.13,2347.31,0.1799999999998363
2023-05-15,1799.89,1847.36,1785.93,1817.39,2988.0004,ETH/USDC,2346.45,2346.69,0.24000000000023647
2023-05-16,1816.69,1832.46,1796.15,1824.42,2598.8459,ETH/USDC,2346.45,2346.69,0.24000000000023647
2023-05-17,1824.1,1837.1,1785.1,1822.25,2720.8696,ETH/USDC,2346.24,2346.5,0.2600000000002183
2023-05-18,1823.1,1831.8,1772.12,1800.48,2540.1417,ETH/USDC,2346.24,2346.5,0.2600000000002183
2023-05-19,1800.25,1829.27,1797.34,1811.9,1812.8718,ETH/USDC,2345.45,2345.7,0.25
2023-05-20,1813.01,1829.12,1807.43,1819.57,1022.5085,ETH/USDC,2345.6,2345.79,0.19000000000005457
2023-05-21,1820.5,1829.46,1798.44,1805.34,1814.6277,ETH/USDC,2345.6,2345.79,0.19000000000005457
2023-05-22,1805.23,1828.41,1792.51,1817.72,3359.8607,ETH/USDC,2344.5,2344.68,0.1799999999998363
2023-05-23,1817.73,1874.77,1816.04,1854.27,3008.725,ETH/USDC,2344.5,2344.68,0.1799999999998363
2023-05-24,1854.32,1854.32,1777.85,1800.01,3700.9361,ETH/USDC,2344.53,2344.71,0.1799999999998363
2023-05-25,1799.95,1818.57,1761.82,1806.41,2717.3084,ETH/USDC,2344.76,2345.08,0.31999999999970896
2023-05-26,1805.81,1838.47,1797.16,1828.56,2293.665,ETH/USDC,2344.76,2345.08,0.31999999999970896
2023-05-27,1828.87,1836.25,1812.37,1830.71,1286.6601,ETH/USDC,2345.5,2345.74,0.23999999999978172
2023-05-28,1830.76,1923.84,1823.97,1908.63,4400.3463,ETH/USDC,2345.5,2345.74,0.23999999999978172
2023-05-29,1908.62,1927.6,1874.63,1893.16,3388.3668,ETH/USDC,2345.54,2345.81,0.2699999999999818
2023-05-30,1893.44,1917.05,1882.04,1900.88,2440.5591,ETH/USDC,2345.54,2345.81,0.2699999999999818
2023-05-31,1900.47,1907.68,1848.04,1874.16,2678.1752,ETH/USDC,2345.5,2345.73,0.2300000000000182
2023-06-01,1874.41,1888.56,1840.47,1862.19,2517.0643,ETH/USDC,2345.36,2345.64,0.27999999999974534
2023-06-02,1861.43,1947.5,1848.25,1907.92,3041.0034,ETH/USDC,2345.36,2345.64,0.27999999999974534
2023-06-03,1907.58,1908.44,1882.68,1892.46,1416.8369,ETH/USDC,2345.65,2345.9,0.25
2023-06-04,1892.52,1915.08,1885.06,1890.83,2099.4052,ETH/USDC,2345.54,2345.85,0.30999999999994543
2023-06-05,1890.48,1891.1,1780.0,1810.85,3365.182,ETH/USDC,2345.54,2345.85,0.30999999999994543
2023-06-06,1810.41,1897.95,1798.46,1884.38,2871.4712,ETH/USDC,2345.43,2345.55,0.12000000000034561
2023-06-07,1884.62,1897.55,1822.07,1832.41,2872.7892,ETH/USDC,2345.43,2345.55,0.12000000000034561
2023-06-08,1831.56,1861.29,1828.82,1845.75,1398.1798,ETH/USDC,2345.75,2345.89,0.13999999999987267
2023-06-09,1846.4,1876.07,1827.71,1840.01,1704.5499,ETH/USDC,2345.45,2345.73,0.2800000000002001
2023-06-10,1840.34,1844.7,1717.01,1752.31,4079.9288,ETH/USDC,2345.08,2345.31,0.2300000000000182
2023-06-11,1752.7,1778.44,1740.0,1753.06,1443.4123,ETH/USDC,2345.08,2345.31,0.2300000000000182
2023-06-12,1753.22,1759.47,1720.35,1742.81,2242.0169,ETH/USDC,2344.85,2344.92,0.07000000000016371
2023-06-13,1742.81,1766.41,1724.68,1739.26,1906.24,ETH/USDC,2344.85,2344.92,0.07000000000016371
2023-06-14,1739.22,1749.51,1630.99,1650.78,2720.1933,ETH/USDC,2345.25,2345.55,0.3000000000001819
2023-06-15,1650.76,1678.66,1621.95,1665.53,5637.8712,ETH/USDC,2345.25,2345.55,0.3000000000001819
2023-06-16,1665.31,1727.56,1648.4,1716.66,2648.5907,ETH/USDC,2345.58,2345.87,0.2899999999999636
2023-06-17,1716.49,1770.0,1713.19,1727.12,3108.5533,ETH/USDC,2345.51,2345.72,0.20999999999958163
2023-06-18,1727.3,1747.09,1713.03,1720.39,1389.5051,ETH/USDC,2345.51,2345.72,0.20999999999958163
2023-06-19,1720.74,1750.38,1698.5,1736.78,2783.4034,ETH/USDC,2345.47,2345.64,0.17000000000007276
2023-06-20,1736.76,1796.57,1714.3,1792.05,3457.2284,ETH/USDC,2345.47,2345.64,0.17000000000007276
2023-06-21,1793.1,1901.09,1787.86,1889.11,6717.7162,ETH/USDC,2346.11,2346.46,0.34999999999990905
2023-06-22,1890.15,1933.5,1866.91,1872.67,7029.5434,ETH/USDC,2346.11,2346.46,0.34999999999990905
2023-06-23,1872.89,1936.47,1862.07,1893.55,8386.0634,ETH/USDC,2346.22,2346.57,0.3500000000003638
2023-06-24,1893.18,1906.32,1866.5,1875.8,3458.3129,ETH/USDC,2346.22,2346.57,0.3500000000003638
2023-06-25,1876.0,1930.55,1870.01,1899.27,3333.3718,ETH/USDC,2345.82,2346.0,0.1799999999998363
