date,open,high,low,close,volume,liquidity_usd,liquidity_base,market_cap_usd,market_cap_base
2025-05-22,1.40565655591831,1.5784527438374438,1.4006336819246545,1.538290998830848,46821146.480738394,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-21,1.29876375850648,1.44334796471409,1.2739661176659,1.40565655591831,85109686.7730949,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-20,1.20937302691803,1.32284454967539,1.18805813879046,1.29876375850648,60270504.660248,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-19,1.36050146340781,1.37504365747954,1.16337458739259,1.20937302691803,58954292.7428538,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-18,1.20676503199639,1.36050146340781,1.19333026992691,1.36050146340781,46903084.1329865,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-17,1.19148609747106,1.22652702981911,1.15754225168305,1.20676503199639,41228586.8534902,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-16,1.30289055280271,1.33601481765198,1.17179421258126,1.19148609747106,55268180.8427184,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-15,1.32584202334812,1.36340903419596,1.22205984348371,1.30289055280271,63583440.9431744,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-14,1.4311626446929,1.46707761572346,1.31242210879194,1.32584202334812,84989280.0714763,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-13,1.38341087959306,1.47011445527703,1.24907318598295,1.4311626446929,97713166.2004478,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-12,1.34620358781225,1.47402343840417,1.28313890925577,1.38341087959306,130909708.992396,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-11,1.41984118274725,1.44205217739228,1.27160230312966,1.34620358781225,67031052.3405278,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-10,1.37760515351741,1.43264443425772,1.29410567250421,1.41984118274725,63625831.7043532,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-09,1.23903042728678,1.44876137839603,1.17293985608362,1.37760515351741,95383458.51873,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-08,1.02320632008588,1.24863696795216,0.992950670364243,1.23903042728678,66144713.1463971,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-07,1.08024667718229,1.12086410701476,0.928392340041419,1.02320632008588,62983257.3407908,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-06,1.13814572966647,1.14957511785392,0.989729606044012,1.08024667718229,34141084.7722582,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-05,1.08171466412949,1.14934173384147,1.05231824125986,1.13814572966647,24544590.5530355,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-04,1.08779861871971,1.13084151901546,1.06364179661944,1.08171466412949,26152153.7704456,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-03,1.14823817631641,1.15663100562287,1.06991734504309,1.08779861871971,21833196.1643331,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-02,1.19326392742941,1.22453251095622,1.14485308594155,1.14823817631641,30912050.6504287,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-05-01,1.24433316344273,1.28234567461323,1.17915803990411,1.19326392742941,46821305.5201554,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-30,1.10968647032269,1.25632067759824,1.06829199290519,1.24433316344273,59797828.1583079,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-29,1.09202837847558,1.16132412546748,1.07612510904817,1.10968647032269,49755008.8522312,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-28,1.07415624627685,1.22739229067704,1.03774892363148,1.09202837847558,78063710.4199705,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-27,1.0276236952269,1.12244133107322,0.945870331391345,1.07415624627685,54532799.8687439,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-26,1.029600765765,1.06657320553455,0.989943145105205,1.0276236952269,38078741.9221202,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-25,1.1356169086937,1.15010876912382,1.01344224289196,1.029600765765,74387071.6984963,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-24,1.08901807574723,1.16387305470374,1.029955664241,1.1356169086937,70844343.4731486,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-23,1.12875655940961,1.19725224702673,1.05719928558237,1.08901807574723,106248255.369772,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-22,0.932551193378607,1.21499451881346,0.92126712603967,1.12875655940961,114819552.540434,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-21,0.893589988059406,0.937055658232974,0.829406128467645,0.932551193378607,68068524.7738181,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
2025-04-20,0.813060197055886,0.899752825002004,0.806023961325547,0.893589988059406,59462323.3370611,9986641.5056,6492036.625833589,1538019814.67255,999823710.7553096
