date,open,high,low,close,volume,liquidity_usd,market_cap_usd,24h_volume,6h_volume,1h_volume,5m_volume
2025-05-22,4.62155008565832,4.702906134882445,4.605291809507641,4.69639794059443,15368199.473270616,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-21,4.54224813109667,4.65735903535793,4.48886737723882,4.62155008565832,49006687.8757506,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-20,4.53742636591445,4.61404996551556,4.4874433372463,4.54224813109667,26052949.2225757,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-19,4.59409022744389,4.60410064933667,4.41007589340265,4.53742636591445,34704518.183028,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-18,4.5011724105498,4.64923565926058,4.45637506674154,4.59409022744389,27556626.6435803,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-17,4.5220154139076,4.55370392519136,4.45460503557285,4.5011724105498,22562237.2213098,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-16,4.54037152990684,4.62231837283992,4.49769554129693,4.5220154139076,32452473.6121008,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-15,4.62857457747015,4.65217961348177,4.49271209261782,4.54037152990684,36093954.6507581,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-14,4.71841645888703,4.72896754080988,4.57065890705405,4.62857457747015,37293511.7267763,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-13,4.57907997671142,4.74669276379314,4.47079111370709,4.71841645888703,44323104.956664,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-12,4.5580471003078,4.66780624771305,4.4835024519336,4.57907997671142,81587971.4701275,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-11,4.62496191172323,4.65865750425513,4.50153900898639,4.5580471003078,47398060.3828443,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-10,4.52657855609752,4.64845163621251,4.45252641625837,4.62496191172323,41447815.4026281,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
2025-05-09,4.3948695562799,4.57493750460343,4.35812300516175,4.52657855609752,58687546.5381621,8293272.0452,1652057147.67675,51561465.5726136,9980866.00112197,2097936.79530693,39568.7990381123
