date,open,high,low,close,volume,liquidity_usd,liquidity_base,market_cap_usd,market_cap_base,source
2025-05-22,4.62147795052022,4.729512707461497,4.605521955291034,4.690358438897642,9040829.43546906,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-21,4.5422878617436,4.65830505159275,4.51194801290585,4.62147795052022,15789316.129426,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-20,4.53941562020473,4.61408365730397,4.4873401792751,4.5422878617436,14379508.5490047,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-19,4.594876881179,4.60358250541582,4.39645055852575,4.53941562020473,14354756.1601005,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-18,4.4979568158853,4.64907375216611,4.45755592596566,4.594876881179,11355062.9838635,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-17,4.52215743530634,4.55322538579739,4.46551028906558,4.4979568158853,11405441.2943162,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-16,4.54031488490081,4.61003374341055,4.50025938340753,4.52215743530634,13630147.6006116,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-15,4.62825419235063,4.65171848637042,4.492635353967,4.54031488490081,17604689.1580225,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-14,4.71468430366027,4.72821223697831,4.57155954165118,4.62825419235063,13214200.2653825,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-13,4.5778394877466,4.72758454903074,4.47170239564064,4.71468430366027,17777387.0800228,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-12,4.5585943133695,4.66931659598837,4.47132715883094,4.5778394877466,23769870.9664159,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-11,4.62704630727974,4.65649180862696,4.49572617471251,4.5585943133695,13704324.5726247,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-10,4.53600774232389,4.64770151557787,4.45557418567255,4.62704630727974,8166658.23251779,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-09,4.39578702237963,4.57508362221891,4.36427708951538,4.53600774232389,19872575.5713058,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-08,4.11697251176218,4.41879959039601,4.10359250633783,4.39578702237963,11446083.423513,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-07,4.10392800107263,4.15054339045576,4.06678237309762,4.11697251176218,8651679.34677634,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-06,4.10239221630088,4.10785361159045,4.0169547520526,4.10392800107263,6786297.51991422,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
2025-05-05,4.060889508949,4.11655449592766,4.03548334752312,4.10239221630088,7050110.71851209,9228163.343,1967475.0796164873,1649400121.53962,351657585.0282506,JLP_SOL
