Date,Close,High,Low,Open,Volume
,,,,,
,,,,,
2023-05-09,1.09961402416229,1.10011005401611,1.09440326690674,1.09961402416229,0
2023-05-10,1.09646713733673,1.10047316551209,1.09428346157074,1.09646713733673,0
2023-05-11,1.09840619564056,1.09986805915833,1.09013211727142,1.09840619564056,0
2023-05-12,1.09121453762054,1.09351766109467,1.08556413650513,1.09121453762054,0
2023-05-15,1.08526968955994,1.0892059803009,1.08485758304596,1.08526968955994,0
2023-05-16,1.08737015724182,1.09035801887512,1.08567023277283,1.08737015724182,0
2023-05-17,1.08656680583954,1.08754754066467,1.08116292953491,1.08656680583954,0
2023-05-18,1.08383464813232,1.0849517583847,1.07654213905334,1.08383464813232,0
2023-05-19,1.07753968238831,1.08239161968231,1.07610189914703,1.07753968238831,0
2023-05-22,1.08227455615997,1.08307158946991,1.07965707778931,1.08227455615997,0
2023-05-23,1.08110451698303,1.08213400840759,1.07637989521027,1.08110451698303,0
2023-05-24,1.07697117328644,1.07993698120117,1.0749683380127,1.07697117328644,0
2023-05-25,1.0757315158844,1.07541918754578,1.07099640369415,1.0757315158844,0
2023-05-26,1.0724436044693,1.07575464248657,1.07020545005798,1.0724436044693,0
2023-05-29,1.072305560112,1.07457554340363,1.07062947750092,1.072305560112,0
2023-05-30,1.07076692581177,1.07457554340363,1.06733846664429,1.07076692581177,0
2023-05-31,1.07330691814423,1.07388317584991,1.06516695022583,1.07330691814423,0
2023-06-01,1.06951868534088,1.075399518013,1.06641638278961,1.06951868534088,0
2023-06-02,1.07607877254486,1.07793474197388,1.07181131839752,1.07607877254486,0
2023-06-05,1.06986200809479,1.07227098941803,1.06747508049011,1.06986200809479,0
2023-06-06,1.07117986679077,1.07330691814423,1.06673491001129,1.07117986679077,0
2023-06-07,1.0698047876358,1.07402157783508,1.06688296794891,1.0698047876358,0
2023-06-08,1.07074403762817,1.07828342914581,1.07021689414978,1.07074403762817,0
2023-06-09,1.07827174663544,1.07874870300293,1.07477188110352,1.07827174663544,0
2023-06-12,1.07509541511536,1.07896971702576,1.07343351840973,1.07509541511536,0
2023-06-13,1.07629883289337,1.08225107192993,1.07605564594269,1.07629883289337,0
2023-06-14,1.07893490791321,1.08583533763886,1.07757461071014,1.07893490791321,0
2023-06-15,1.08430469036102,1.09385251998901,1.08042693138123,1.08430469036102,0
2023-06-16,1.09459483623505,1.09709990024567,1.09201300144196,1.09459483623505,0
2023-06-19,1.09421157836914,1.09493052959442,1.09110033512115,1.09421157836914,0
2023-06-20,1.09243047237396,1.09452295303345,1.08945512771606,1.09243047237396,0
2023-06-21,1.09203684329987,1.09613072872162,1.09066712856293,1.09203684329987,0
2023-06-22,1.09926354885101,1.10111546516418,1.09511029720306,1.09926354885101,0
2023-06-23,1.09589040279388,1.09589040279388,1.0845046043396,1.09589040279388,0
2023-06-26,1.09066712856293,1.09218001365662,1.08881461620331,1.09066712856293,0
2023-06-27,1.09104800224304,1.09761047363281,1.09032237529755,1.09104800224304,0
2023-06-28,1.09572231769562,1.09625089168549,1.08996570110321,1.09572231769562,0
2023-06-29,1.09158384799957,1.09406793117523,1.08623623847961,1.09158384799957,0
