date,price_usd,volume_usd,market_cap_usd
2024-06-06,2.9361559138026343,19177288.68436273,0.0
2024-06-07,2.936887229979068,25667146.810299203,0.0
2024-06-08,2.9120521121558234,38084360.6063088,0.0
2024-06-09,2.898619376760496,12039223.149548214,0.0
2024-06-10,2.918195615533111,8569491.332652647,0.0
2024-06-11,2.9095943149941452,11413936.984147094,0.0
2024-06-12,2.8657323079701227,19221191.360741034,0.0
2024-06-13,2.9232707784302527,15284117.882456135,0.0
2024-06-14,2.854999446387222,18736959.77459461,0.0
2024-06-15,2.850514623553747,25858585.745302234,0.0
2024-06-16,2.8753056733991893,7427136.268136469,0.0
2024-06-17,2.8970191985497773,9448143.273954632,0.0
2024-06-18,2.8640088491696467,21878105.748505544,0.0
2024-06-19,2.8401384637653067,36190909.34784269,0.0
2024-06-20,2.8398093470901946,21017523.015710685,0.0
2024-06-21,2.820437163444103,25773010.102729034,0.0
2024-06-22,2.8234564728489278,13873723.510721942,0.0
2024-06-23,2.8245022949716945,5213077.249364318,0.0
2024-06-24,2.779556157686614,7848754.208120464,0.0
2024-06-25,2.803445477395143,16083565.03034987,0.0
2024-06-26,2.8446570063337906,18106201.547235206,0.0
2024-06-27,2.838387860807595,13039156.011267917,0.0
2024-06-28,2.9179191326743283,18586493.262290493,0.0
2024-06-30,2.8685793487739506,9330515.759966893,0.0
2024-07-01,2.914361685546061,13886561.919226673,0.0
2024-07-02,2.918013743142338,22925293.67872936,0.0
2024-07-03,2.9572754671128774,30473497.417361677,0.0
2024-07-04,2.8715268894145733,28847254.314030528,0.0
2024-07-05,2.778054517624647,19606559.729207437,0.0
2024-07-06,2.827896778429204,22296187.471880697,0.0
2024-07-07,2.8921275016718595,13826684.344783086,0.0
2024-07-08,2.8060240590128736,14380074.891702922,0.0
2024-07-09,2.861254063750524,41014590.68492769,0.0
2024-07-10,2.8916448469017446,24411191.94655261,0.0
2024-07-11,2.9014013095468414,22620734.143722516,0.0
2024-07-12,2.874434851936952,23774540.494497955,0.0
2024-07-13,2.895335749544738,20448798.175214864,0.0
2024-07-14,2.910155808392681,15875443.221930167,0.0
2024-07-15,2.9544238215428305,21196081.77062338,0.0
2024-07-16,3.066942620318204,33072365.84126158,0.0
2024-07-17,3.0848335975653063,43878741.637304395,0.0
2024-07-18,3.0447692430560176,27941205.475098386,0.0
2024-07-19,3.0678306489931098,23918857.511471223,0.0
2024-07-20,3.1468603870361216,33712521.45767217,0.0
2024-07-21,3.1915750302458217,22824511.256631397,0.0
2024-07-22,3.264375033267921,34128907.31282013,0.0
2024-07-23,3.2237088565306986,38807690.64147302,0.0
2024-07-24,3.1878935206284615,41474948.45456867,0.0
2024-07-25,3.1993268146431735,42392541.61343229,0.0
2024-07-26,3.1734622718670624,61788756.61946125,0.0
2024-07-27,3.234055734142151,35748519.019186646,0.0
2024-07-28,3.240329572363657,42626598.51228095,0.0
2024-07-29,3.26824433964987,28128558.415493064,0.0
2024-07-30,3.24189577485194,42135299.386117265,0.0
2024-07-31,3.2527416193203535,46631193.575182185,0.0
2024-08-01,3.251008671583804,52480170.813506916,0.0
2024-08-02,3.241498785441367,53227869.30562881,0.0
2024-08-03,3.134599097693687,57783255.46839557,0.0
2024-08-04,3.0773644236816096,33202944.219162475,0.0
2024-08-05,3.006428089779391,35652670.35514692,0.0
2024-08-06,2.948393872286728,67402856.21838042,0.0
2024-08-07,3.082340246815724,57463456.60568812,0.0
2024-08-08,3.084797281621411,59130688.94999879,0.0
2024-08-09,3.3182332440356204,71168528.20696092,0.0
2024-08-10,3.2541770731752435,46582999.05429996,0.0
2024-08-11,3.2365174078015375,26128728.90653414,0.0
2024-08-12,3.131603382367636,39200624.12931709,0.0
2024-08-13,3.1843346739791394,52231605.29729537,0.0
2024-08-14,3.2005414502411598,39951059.46182751,0.0
2024-08-15,3.1444611888980027,45334940.69385355,0.0
2024-08-16,3.129455325609824,47511624.97942127,0.0
2024-08-17,3.092736219650659,32699979.504792973,0.0
2024-08-18,3.136206520311613,14703813.70566212,0.0
2024-08-19,3.1358862966597174,22969110.919215977,0.0
2024-08-20,3.162616301237403,30800029.590114485,0.0
2024-08-21,3.151806481817255,32002189.40020641,0.0
2024-08-22,3.14591846565748,31452214.456958864,0.0
2024-08-23,3.1494558687700454,23030815.066097606,0.0
2024-08-24,3.2439081231314573,41402451.97046812,0.0
2024-08-25,3.299682044347615,36340048.787617624,0.0
2024-08-26,3.303787694536902,34900127.44414888,0.0
2024-08-27,3.2678970414913904,45275929.50349125,0.0
2024-08-28,3.1765553112916916,43918225.27566474,0.0
2024-08-29,3.1656122453614794,47263280.530767456,0.0
2024-08-30,3.1582570943696555,29827028.565185376,0.0
2024-08-31,3.151287942098487,33118697.629887037,0.0
2024-09-01,3.109852292309436,13885311.477905871,0.0
2024-09-02,3.0694297787789644,27413681.293789983,0.0
2024-09-03,3.1087367217179835,38983445.70581633,0.0
2024-09-04,3.0534170873273716,32104958.516020965,0.0
2024-09-05,3.1274110461663653,55703961.25663084,0.0
2024-09-06,3.0686055866724917,50531541.98444582,0.0
2024-09-07,3.0212012569686393,69478154.78303126,0.0
2024-09-08,3.054642818510905,25303416.078512833,0.0
2024-09-09,3.069406337782912,28897641.471672546,0.0
2024-09-10,3.123400111129664,56518201.565646075,0.0
2024-09-11,3.1294256623821526,42516793.95958785,0.0
2024-09-12,3.1144291271672895,60182914.63337108,0.0
2024-09-13,3.146881690819393,46876887.88517369,0.0
2024-09-14,3.181587848653582,48141680.90790574,0.0
