timestamp,price,market_cap,volume,rolling_mean,price_deviation,price_std
2024-07-28 00:00:00,1.0000226501099705,114323274523.11798,40127656217.77788,1.0001901075166748,-0.00016745740670431886,0.0002863021619497369
2024-07-29 00:00:00,1.0001652775682102,114436762854.19614,26841500104.986618,1.000117917281431,4.736028677920778e-05,0.00019367851433721203
2024-07-30 00:00:00,1.0000523631764198,114423843424.0103,57812247155.517784,1.0000589742691621,-6.611092742359048e-06,0.00011874621704952673
2024-07-31 00:00:00,0.9996921913215338,114429758402.69632,25410424388.074238,0.9999931743142947,-0.0003009829927609342,0.00017321696250213083
2024-08-01 00:00:00,0.9999272043785806,114343128199.69716,46112131810.015526,0.9999760178180821,-4.8813439501471656e-05,0.00017290977301924874
2024-08-02 00:00:00,0.9992069326240535,114422514458.41356,52804343957.44621,0.999887818145336,-0.0006808855212825371,0.00033995475295795245
2024-08-03 00:00:00,0.9986497455434522,114339047195.47589,53556320077.208786,0.9996737663888886,-0.001024020845436402,0.0005534379468989976
2024-08-04 00:00:00,0.9995289420492683,114467573236.0355,42795668912.55556,0.9996032366659312,-7.429461666286219e-05,0.0005326341008255339
2024-08-05 00:00:00,0.9983319963740614,114321354116.66292,31708905886.721657,0.9993413393524814,-0.0010093429784199248,0.000648360110389262
2024-08-06 00:00:00,0.9983384299101173,114273868572.97675,142007528296.11038,0.9990964917430096,-0.0007580618328922872,0.0006586406461782077
2024-08-07 00:00:00,0.9997954811024553,114449569879.83371,77801860523.48775,0.9991112474259983,0.0006842336764569801,0.0006751603550626094
2024-08-08 00:00:00,0.9999781393666202,114697495372.16809,67657578689.02249,0.9991185238528612,0.0008596155137590156,0.00068561338641908
2024-08-09 00:00:00,1.0009348485724234,114970432933.55519,58004219782.41032,0.9993653689883425,0.001569479584080935,0.000973403481220925
2024-08-10 00:00:00,1.0024290666767897,115453319573.63643,47994841969.53526,0.9999052720073909,0.0025237946693987823,0.0014444575536051098
2024-08-11 00:00:00,1.0001710951692424,115682732676.35165,23762254605.212345,0.9999970081673871,0.00017408700185528314,0.0014369455336257695
2024-08-12 00:00:00,1.0006695520459041,115569651109.11028,36552652812.04151,1.000330944691936,0.00033860735396817887,0.0012442086225969472
2024-08-13 00:00:00,1.0001393749505667,115615435596.80666,54903256228.77014,1.0005882225548575,-0.00044884760429075854,0.0009029185177399327
2024-08-14 00:00:00,1.0008777600254406,115768698244.9125,47503291528.0233,1.0007428338295696,0.00013492619587096577,0.0008346288107801481
2024-08-15 00:00:00,1.0000430376218774,116190571128.30977,47621751537.924545,1.0007521050088921,-0.0007090673870147057,0.0008250239327819983
2024-08-16 00:00:00,1.0000905569496674,116521301017.53625,47577105225.76945,1.0006314919199268,-0.0005409349702594213,0.0008550248477891402
2024-08-17 00:00:00,0.9998031890286656,116732851982.2746,43714130658.03507,1.0002563665416235,-0.0004531775129579252,0.0003777526238709003
2024-08-18 00:00:00,1.000201202070622,116866602270.81105,15180842043.11582,1.0002606675275347,-5.946545691282168e-05,0.000376790103285327
2024-08-19 00:00:00,0.9985984281635789,116739857897.3705,29075460609.883625,0.9999647926872025,-0.0013663645236235977,0.0006873723393391557
2024-08-20 00:00:00,1.0009990692483224,117015270220.48073,37748045857.825066,1.0000876061583106,0.0009114630900117771,0.000792522491240662
2024-08-21 00:00:00,0.9999301030147147,116980055140.24043,44677155509.47192,0.9999522265853499,-2.212357063513526e-05,0.0007118897503369959
2024-08-22 00:00:00,1.0004049197589533,117370235101.15463,43451629655.00184,1.0000039240335035,0.0004009957254498264,0.0007324272639498628
2024-08-23 00:00:00,1.0000893379281615,117411769439.62729,39760183764.48847,1.000003749887574,8.558804058744762e-05,0.000732403377109959
2024-08-24 00:00:00,1.0015577204672534,117853361164.5161,45892281337.958046,1.0002543972359437,0.001303323231309772,0.000926761340411218
2024-08-25 00:00:00,1.001390030743097,117976041920.30212,40007652022.96911,1.0004242299034403,0.0009658008396566942,0.0010196609963446593
2024-08-26 00:00:00,0.9997108868336821,117925656123.98563,33123507245.214764,1.000583152570598,-0.0008722657369157893,0.0007344797169581247
2024-08-27 00:00:00,0.9999429851247148,117869723009.1109,42087551883.17527,1.0004322834100825,-0.0004892982853677008,0.0007432204561380548
2024-08-28 00:00:00,0.9991055625467704,117955490801.0307,59445193965.258736,1.0003144919146618,-0.0012089293678914093,0.0008874250318977751
2024-08-29 00:00:00,0.9991098226668258,118135731907.63963,46053881610.6317,1.000129478044358,-0.0010196553775321249,0.0009940304321008008
2024-08-30 00:00:00,0.9997542313781328,118172891314.81387,47011640323.28129,1.000081605680068,-0.0003273743019353015,0.0010043020369391146
2024-08-31 00:00:00,1.0001679744835195,118222000180.62563,48813887050.41809,0.9998830705395346,0.00028490394398483776,0.0007750663175361049
2024-09-01 00:00:00,0.9998489122998646,118230433723.71104,20769126182.80864,0.99966291076193,0.00018600153793457697,0.000407290276494829
2024-09-02 00:00:00,1.000524959314262,118295677077.48834,29488213878.951893,0.9997792068305842,0.0007457524836778084,0.0005230463315983101
2024-09-03 00:00:00,0.9999746484069576,118015323883.80325,42068207224.32551,0.9997837301566188,0.00019091825033878962,0.0005248326156640821
2024-09-04 00:00:00,0.998101450592515,117932307878.33861,33084781732.39652,0.9996402855917254,-0.00153883499921037,0.0008040330081489778
2024-09-05 00:00:00,1.0000618232116059,118074249578.67099,41088575111.38053,0.999776285669551,0.0002855375420548478,0.0007794918613282209
2024-09-06 00:00:00,0.9995413058748812,118124553014.56517,40416688203.03092,0.999745867740515,-0.00020456186563377887,0.0007846334314555698
2024-09-07 00:00:00,1.0000167425498185,118197461602.93045,69223960493.4397,0.9997242631785578,0.0002924793712607565,0.0007730706620020827
2024-09-08 00:00:00,1.000204354128004,118192306888.51338,29962549103.339977,0.9997750405825778,0.0004293135454260799,0.0007940120689338108
2024-09-09 00:00:00,0.9992475518507435,118097524596.7483,28203740261.758167,0.9995925538020751,-0.0003450019513315805,0.0007377315767885989
2024-09-10 00:00:00,0.9995366778015586,118169308693.40657,51279937261.611115,0.9995299865727325,6.691228826127826e-06,0.000718239805518204
2024-09-11 00:00:00,1.000199562335115,118369979986.92542,39791627344.81422,0.9998297168216752,0.00036984551343977046,0.00038165420851528
2024-09-12 00:00:00,0.999855942473032,118453823970.21852,46892204688.59078,0.9998003052875932,5.563718543877272e-05,0.0003684921413560961
2024-09-13 00:00:00,0.9997532775780804,118400065870.78699,45211119836.10348,0.9998305869594789,-7.730938139849375e-05,0.0003520016102139263
2024-09-14 00:00:00,1.000749941348357,118715373464.87146,47234088508.699585,0.9999353296449843,0.000814611703372603,0.0004961841356672332
2024-09-15 00:00:00,1.0003429827085457,118621353590.58966,23864442250.99478,0.9999551337279188,0.00038784898062693696,0.0005112490610893075
2024-09-16 00:00:00,1.000535983437497,118802612881.71228,29435832527.397,1.0001391953831693,0.00039678805432763475,0.0004411758977373031
2024-09-17 00:00:00,0.9993179426744909,118588812120.9188,49170855406.54608,1.000107947507874,-0.0007900048333830956,0.0004953804268529177
2024-09-18 00:00:00,1.0001431977541406,118718182140.33269,49764092454.580925,1.0000998954248776,4.330232926297306e-05,0.0004940995268939887
2024-09-19 00:00:00,1.0015302583281835,118956816677.97981,58478204684.645805,1.000339083404185,0.0011911749239985614,0.0007130632067808668
2024-09-20 00:00:00,1.0000828783856601,118889277623.86029,56647759491.81626,1.0003861692338394,-0.00030329084817926066,0.0006779513059367305
2024-09-21 00:00:00,1.0002725884224046,119089506174.47217,54981143266.31666,1.0003179759587033,-4.5387536298679976e-05,0.0006590050618591594
2024-09-22 00:00:00,0.999846938399153,119131553251.0926,26859488672.773,1.000247112485933,-0.0004001740867799475,0.0006821321538495706
2024-09-23 00:00:00,1.000259784128336,119142486489.02696,36455606046.654884,1.000207655441767,5.212868656911951e-05,0.0006705273779416259
2024-09-24 00:00:00,0.9999198599003479,119225487097.90627,49208868070.452896,1.0002936436168894,-0.0003737837165415092,0.000568202060449967
2024-09-25 00:00:00,1.0000500592266635,119245380622.48024,53159917923.67242,1.0002803381129641,-0.00023027888630067217,0.0005733791112777398
2024-09-26 00:00:00,1.0006122429352173,119330816979.4146,45836124175.461754,1.0001491930568263,0.00046304987839107525,0.00025821461289351783
2024-09-27 00:00:00,1.0000709369797858,119333889219.37726,61999678365.98248,1.000147487141701,-7.655016191532305e-05,0.0002587646050072878
2024-09-28 00:00:00,1.0004402202445961,119481674680.34583,39597334324.451164,1.0001714345448713,0.00026878569972477173,0.00027921996021489526
2024-09-29 00:00:00,1.0006401401045923,119646728684.20177,23897751076.791008,1.00028474907422,0.0003553910303724095,0.00028644039295368874
2024-09-30 00:00:00,0.9999264441132036,119508803828.78311,35197506321.45075,1.000237129072058,-0.0003106849588543348,0.00031732584110996345
2024-10-01 00:00:00,1.0001549105220389,119716177650.74232,60217311693.00219,1.0002707077322996,-0.00011579721026078182,0.0002893618306726937
2024-10-02 00:00:00,0.9992162065074813,119609196026.14432,87688709413.82808,1.0001515859152736,-0.0009353794077923139,0.0004943579393791027
2024-10-03 00:00:00,0.999953265760714,119655789008.589,60786660023.59352,1.000057446318916,-0.00010418055820204941,0.0004530321515128784
2024-10-04 00:00:00,0.9996324669487652,119618717248.59447,55159237990.379776,0.9999948077430559,-0.0003623407942907608,0.0004803452075761281
2024-10-05 00:00:00,1.0003194351672378,119681714324.82814,50019501599.90957,0.9999775527320047,0.00034188243523303186,0.0004635543173505301
2024-10-06 00:00:00,1.0003191395090403,119652656652.73087,23370706989.01163,0.9999316955040687,0.00038744400497159326,0.0003983789931837141
2024-10-07 00:00:00,0.9996188227834542,119669524233.95427,26588165980.292015,0.9998877495998189,-0.0002689268163647007,0.00041564768694093946
2024-10-08 00:00:00,0.9987818444610819,119569474088.64745,59409592888.74625,0.9996915973053964,-0.0009097528443144931,0.0005655232322410676
2024-10-09 00:00:00,0.9992457372163622,119776998408.91275,49101403616.27489,0.9996958159780936,-0.0004500787617314206,0.0005614815795557208
2024-10-10 00:00:00,0.9987153170927578,119679537184.3629,48611128629.77328,0.9995189661683855,-0.0008036490756276882,0.0006541834697158824
2024-10-11 00:00:00,0.9993612455490434,119777751851.07983,48430598134.99127,0.9994802202541396,-0.00011897470509625307,0.0006543725643469725
2024-10-12 00:00:00,0.9999867915912033,119747722936.46368,20888826245.915455,0.9994326997432775,0.0005540918479257639,0.0005924168259932636
2024-10-13 00:00:00,0.9999941356492925,119707496291.20467,31967439285.790043,0.9993862706204565,0.0006078650288360299,0.0005196298920762261
2024-10-14 00:00:00,1.0001190275427372,119657519421.44238,22821596027.184715,0.9994577284432111,0.0006612990995260581,0.0005869696193218794
2024-10-15 00:00:00,0.9994269728322822,119667247527.33498,66137470413.86316,0.9995498896390969,-0.00012291680681464356,0.000508571684910671
2024-10-16 00:00:00,0.9993119158567704,119650361572.08174,73364065302.36046,0.9995593437305839,-0.0002474278738134883,0.0005025548258740726
2024-10-17 00:00:00,0.9999015083974436,120006109540.46979,44197297539.52449,0.9997287996312532,0.00017270876619046582,0.0003461831634755462
2024-10-18 00:00:00,0.9998802285399546,119910642015.27625,51572077913.461105,0.9998029400585262,7.728848142840583e-05,0.0003077915383264785
2024-10-19 00:00:00,1.0002604011052658,120052034495.12138,52405473184.7275,0.9998420271319637,0.000418373973302133,0.0003495684039974024
2024-10-20 00:00:00,1.0000672438582185,120177060289.74884,28024840566.189552,0.9998524711618104,0.00021477269640812757,0.00035590505355239684
2024-10-21 00:00:00,0.999906606436519,120123290869.1666,38717393907.31031,0.9998221252894935,8.448114702541698e-05,0.0003379947393211574
