timestamp,pair,rate,pair_clean,base,quote,rate_norm
2023-05-13 16:00:00.026,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-14 00:00:00.029,SOL/USDT:USDT,7.69e-05,sol_usdt_usdt,SOL,USDT:USDT,0.41405170919747286
2023-05-14 08:00:00.010,SOL/USDT:USDT,6.449e-05,sol_usdt_usdt,SOL,USDT:USDT,0.40753422858973487
2023-05-14 16:00:00.008,SOL/USDT:USDT,6.799e-05,sol_usdt_usdt,SOL,USDT:USDT,0.40937235768941926
2023-05-15 00:00:00.006,SOL/USDT:USDT,8.94e-06,sol_usdt_usdt,SOL,USDT:USDT,0.37836049387903015
2023-05-15 08:00:00.005,SOL/USDT:USDT,6.491e-05,sol_usdt_usdt,SOL,USDT:USDT,0.407754804081697
2023-05-15 16:00:00.008,SOL/USDT:USDT,8.447e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4180273198502188
2023-05-16 00:00:00.021,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-16 08:00:00.000,SOL/USDT:USDT,6.067e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4055280419723651
2023-05-16 16:00:00.000,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-17 00:00:00.010,SOL/USDT:USDT,3.051e-05,sol_usdt_usdt,SOL,USDT:USDT,0.38968862093051354
2023-05-17 08:00:00.000,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-17 16:00:00.001,SOL/USDT:USDT,9.695e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4245815630399505
2023-05-18 00:00:00.000,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-18 08:00:00.026,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-18 16:00:00.019,SOL/USDT:USDT,2.95e-05,sol_usdt_usdt,SOL,USDT:USDT,0.3891581893903189
2023-05-19 00:00:00.000,SOL/USDT:USDT,-9.122e-05,sol_usdt_usdt,SOL,USDT:USDT,0.32575849084349123
2023-05-19 08:00:00.002,SOL/USDT:USDT,2.946e-05,sol_usdt_usdt,SOL,USDT:USDT,0.3891371822006082
2023-05-19 16:00:00.000,SOL/USDT:USDT,8.946e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4206479667666259
2023-05-20 00:00:00.005,SOL/USDT:USDT,9.555e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4238463114000767
2023-05-20 08:00:00.014,SOL/USDT:USDT,2.515e-05,sol_usdt_usdt,SOL,USDT:USDT,0.3868736575092826
2023-05-20 16:00:00.020,SOL/USDT:USDT,3.057e-05,sol_usdt_usdt,SOL,USDT:USDT,0.3897201317150795
2023-05-21 00:00:00.014,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-21 08:00:00.001,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-21 16:00:00.015,SOL/USDT:USDT,9.479e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4234471747955738
2023-05-22 00:00:00.028,SOL/USDT:USDT,2.963e-05,sol_usdt_usdt,SOL,USDT:USDT,0.3892264627568786
2023-05-22 08:00:00.000,SOL/USDT:USDT,7.846e-05,sol_usdt_usdt,SOL,USDT:USDT,0.41487098959618934
2023-05-22 16:00:00.012,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-23 00:00:00.006,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-23 08:00:00.014,SOL/USDT:USDT,9.997e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4261676058631067
2023-05-23 16:00:00.008,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-24 00:00:00.000,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-24 08:00:00.025,SOL/USDT:USDT,6.455e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4075657393743009
2023-05-24 16:00:00.008,SOL/USDT:USDT,9.78e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4250279658213024
2023-05-25 00:00:00.000,SOL/USDT:USDT,5.668e-05,sol_usdt_usdt,SOL,USDT:USDT,0.4034325747987249
2023-05-25 08:00:00.025,SOL/USDT:USDT,5.885e-05,sol_usdt_usdt,SOL,USDT:USDT,0.40457221484052924
2023-05-25 16:00:00.016,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-26 00:00:00.000,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-26 08:00:00.024,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-26 16:00:00.012,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-27 00:00:00.012,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
2023-05-27 08:00:00.018,SOL/USDT:USDT,0.0001,sol_usdt_usdt,SOL,USDT:USDT,0.4261833612553897
