snapped_at,price,market_cap,total_volume
2023-11-22 00:00:00 UTC,1.4718271691273723,0.0,235963.3708466533
2023-11-23 00:00:00 UTC,1.4718271691273723,0.0,235963.3708466533
2023-11-24 00:00:00 UTC,1.4704071895632285,0.0,269082.5695194187
2023-11-25 00:00:00 UTC,1.4746344993892366,0.0,201608.4870852381
2023-11-26 00:00:00 UTC,1.4792010464385466,0.0,351103.56269866123
2023-11-27 00:00:00 UTC,1.4591674611190801,0.0,543348.9696377116
2023-11-28 00:00:00 UTC,1.456527770454836,0.0,210784.2549863898
2023-11-29 00:00:00 UTC,1.4821732876258722,0.0,313522.1430621531
2023-11-30 00:00:00 UTC,1.4801238062961493,0.0,189088.25277763675
2023-12-01 00:00:00 UTC,1.4806359359468897,0.0,226708.01679480725
2023-12-02 00:00:00 UTC,1.4945422752503847,0.0,280479.9231658793
2023-12-03 00:00:00 UTC,1.5158023804327374,0.0,327693.7670340772
2023-12-04 00:00:00 UTC,1.5162243033620408,0.0,540889.7242161083
2023-12-05 00:00:00 UTC,1.5250678951947156,0.0,574157.9365253265
2023-12-06 00:00:00 UTC,1.5441612226721118,0.0,442016.81485670496
2023-12-07 00:00:00 UTC,1.5351729748542475,0.0,699330.7152922342
2023-12-08 00:00:00 UTC,1.6037566256757418,0.0,732993.5417002751
2023-12-09 00:00:00 UTC,1.6524547089282955,0.0,1692607.9946818366
2023-12-10 00:00:00 UTC,1.6027315129058797,0.0,3628958.3925002995
2023-12-11 00:00:00 UTC,1.6495475035550475,0.0,1932147.2437576023
2023-12-12 00:00:00 UTC,1.6381535633523887,0.0,2741358.481281588
2023-12-13 00:00:00 UTC,1.6037000643054475,0.0,2018005.7725128008
2023-12-14 00:00:00 UTC,1.5972063897693012,0.0,1383277.4426533452
2023-12-15 00:00:00 UTC,1.6512623845791394,0.0,824503.560344934
2023-12-16 00:00:00 UTC,1.6165225864662842,0.0,1027038.2796983368
2023-12-17 00:00:00 UTC,1.62877541377087,0.0,1085673.6570880187
2023-12-18 00:00:00 UTC,1.640216171985811,0.0,647023.7271589084
2023-12-19 00:00:00 UTC,1.6181080228231117,0.0,1726941.2347696826
2023-12-20 00:00:00 UTC,1.6217440777599195,0.0,857904.8769079215
2023-12-21 00:00:00 UTC,1.6563022202689266,0.0,1125120.636355652
2023-12-22 00:00:00 UTC,1.685940068356139,0.0,2654214.7940631215
2023-12-23 00:00:00 UTC,1.7198502951818528,0.0,1946021.7960769613
2023-12-24 00:00:00 UTC,1.7396023938064364,0.0,936948.5601274131
2023-12-25 00:00:00 UTC,1.7563557965410617,0.0,1234098.1818655278
2023-12-26 00:00:00 UTC,1.7558661781954292,0.0,741565.2346065728
2023-12-27 00:00:00 UTC,1.712064240225532,0.0,683103.3124943742
2023-12-28 00:00:00 UTC,1.8588621718756047,0.0,1351043.3118977414
2023-12-29 00:00:00 UTC,1.7881767401245305,0.0,2875287.3256626027
2023-12-30 00:00:00 UTC,1.8545983641989126,0.0,1152427.4124252086
2023-12-31 00:00:00 UTC,1.8342210656873195,0.0,797944.9385134733
2024-01-01 00:00:00 UTC,1.7702335142647505,0.0,1241188.583528279
2024-01-02 00:00:00 UTC,1.810207160853396,0.0,891719.2167987706
2024-01-03 00:00:00 UTC,1.7986771846673544,0.0,1338309.7120152747
2024-01-04 00:00:00 UTC,1.7859779534114242,0.0,2831523.3310302463
2024-01-05 00:00:00 UTC,1.7928297834631022,0.0,659423.1603470595
2024-01-06 00:00:00 UTC,1.7860171398790994,0.0,585843.9553979839
2024-01-07 00:00:00 UTC,1.8111266442222884,0.0,478452.30521954375
2024-01-08 00:00:00 UTC,1.8064823934748218,0.0,775263.6383200331
2024-01-09 00:00:00 UTC,1.804677795433723,0.0,2254742.624779663
2024-01-10 00:00:00 UTC,1.846158505853374,0.0,1782588.63565272
2024-01-11 00:00:00 UTC,1.8614197101970005,0.0,1154428.0851318077
2024-01-12 00:00:00 UTC,1.8324954607284196,0.0,1139099.0798772646
2024-01-13 00:00:00 UTC,1.8246531419176089,0.0,1978424.991081237
2024-01-14 00:00:00 UTC,1.8350218843886839,0.0,1114926.3445386323
2024-01-15 00:00:00 UTC,1.8328732792651137,0.0,1640209.9801966334
2024-01-16 00:00:00 UTC,1.8454992822678473,0.0,1097773.0778430481
2024-01-17 00:00:00 UTC,1.8543292431284952,0.0,3384444.7513226527
2024-01-18 00:00:00 UTC,1.8756932734057905,0.0,3701009.614572992
2024-01-19 00:00:00 UTC,1.8575290306589554,0.0,4980732.989786342
2024-01-20 00:00:00 UTC,1.8634939750608495,0.0,5277558.436082316
2024-01-21 00:00:00 UTC,1.8763922214551614,0.0,2660744.9756425438
2024-01-22 00:00:00 UTC,1.871353269396895,0.0,1515136.2656223723
2024-01-23 00:00:00 UTC,1.8490170395167511,0.0,4439100.172196384
2024-01-24 00:00:00 UTC,1.763866405269929,0.0,3980635.9619602626
2024-01-25 00:00:00 UTC,1.9021484670777316,0.0,899382.5012222305
2024-01-26 00:00:00 UTC,1.9093885442191694,0.0,3961835.999997833
2024-01-27 00:00:00 UTC,1.9257501148135268,0.0,3182339.4411924467
2024-01-28 00:00:00 UTC,1.9853770253996486,0.0,3216768.137308614
2024-01-29 00:00:00 UTC,1.9623829210793724,0.0,4656741.693549451
2024-01-30 00:00:00 UTC,1.9543261773045573,0.0,6105415.649560091
2024-01-31 00:00:00 UTC,1.9314041828131445,0.0,6127851.295440227
2024-02-01 00:00:00 UTC,1.9685764854251644,0.0,14399881.053893488
2024-02-02 00:00:00 UTC,1.9953141029643415,0.0,7107069.862297823
2024-02-03 00:00:00 UTC,1.9906737624605046,0.0,8192871.24654608
2024-02-04 00:00:00 UTC,1.9984010913057293,0.0,5213627.842644074
2024-02-05 00:00:00 UTC,2.0505567189118072,0.0,9880844.212559527
2024-02-06 00:00:00 UTC,1.9918747019195204,0.0,24634077.951787263
2024-02-07 00:00:00 UTC,2.003820980046713,0.0,6053436.162270138
2024-02-08 00:00:00 UTC,2.0232447723476294,0.0,9326248.115567096
2024-02-09 00:00:00 UTC,2.0633031949149943,0.0,9241081.523260394
2024-02-10 00:00:00 UTC,2.0679143698676614,0.0,10572486.117552642
2024-02-11 00:00:00 UTC,2.0824958992671125,0.0,10528801.747078223
2024-02-12 00:00:00 UTC,2.0812101771241465,0.0,5946351.907432138
2024-02-13 00:00:00 UTC,2.0829810058004665,0.0,12730344.812486144
2024-02-14 00:00:00 UTC,2.092421351281368,0.0,15319830.908293722
2024-02-15 00:00:00 UTC,2.0979073238637453,0.0,7667783.33599826
2024-02-16 00:00:00 UTC,2.1072238995114896,0.0,13999480.140677297
2024-02-17 00:00:00 UTC,2.1122652149704364,0.0,10365038.519144347
2024-02-18 00:00:00 UTC,2.1125200269255595,0.0,11860458.054326711
2024-02-19 00:00:00 UTC,2.1261661929418953,0.0,11970738.070334129
2024-02-20 00:00:00 UTC,2.1582710611815603,0.0,15058536.645967994
2024-02-21 00:00:00 UTC,2.181795909278363,0.0,18246787.710777927
2024-02-22 00:00:00 UTC,2.203179035073448,0.0,18989401.93264678
2024-02-23 00:00:00 UTC,2.193941870478801,0.0,12462476.33979238
2024-02-24 00:00:00 UTC,2.2073248850212623,0.0,12292772.10271618
2024-02-25 00:00:00 UTC,2.2002096239008053,0.0,9368684.207686428
2024-02-26 00:00:00 UTC,2.199793258654512,0.0,8850788.454905612
2024-02-27 00:00:00 UTC,2.275001936386772,0.0,14424320.001619715
2024-02-28 00:00:00 UTC,2.2253886825152005,0.0,20618659.595086697
2024-02-29 00:00:00 UTC,2.2714553306642817,0.0,32123412.71910725
2024-03-01 00:00:00 UTC,2.3258232548483138,0.0,35307709.92283976
2024-03-02 00:00:00 UTC,2.3246815154194524,0.0,27353081.384695034
2024-03-03 00:00:00 UTC,2.3531737183100985,0.0,13885723.035894739
2024-03-04 00:00:00 UTC,2.385414915839131,0.0,16884669.469488062
2024-03-05 00:00:00 UTC,2.468784777192923,0.0,36168831.42861544
2024-03-06 00:00:00 UTC,2.3664377325576313,0.0,57681820.30908715
2024-03-07 00:00:00 UTC,2.389707180099623,0.0,373550.03163209744
2024-03-08 00:00:00 UTC,2.486514327060057,0.0,37670013.23007827
2024-03-09 00:00:00 UTC,2.5086893044857086,0.0,35506285.55052315
2024-03-10 00:00:00 UTC,2.4751357259787756,0.0,13463693.407024095
2024-03-11 00:00:00 UTC,2.4779486358957263,0.0,14291660.754736051
2024-03-12 00:00:00 UTC,2.4450158065188132,0.0,17545532.967366364
2024-03-13 00:00:00 UTC,2.437692680012452,0.0,33005632.088580403
2024-03-14 00:00:00 UTC,2.3996125596587166,0.0,51150210.267392
2024-03-15 00:00:00 UTC,2.4167361746489027,0.0,35154975.78205751
2024-03-16 00:00:00 UTC,2.4210622153820593,0.0,43294272.26493429
2024-03-17 00:00:00 UTC,2.405378463268199,0.0,25959375.23715838
2024-03-18 00:00:00 UTC,2.422878107315444,0.0,16457218.434857437
2024-03-19 00:00:00 UTC,2.424219182049825,0.0,5958617.421628096
2024-03-20 00:00:00 UTC,2.4349749409131336,0.0,23977171.392251745
2024-03-21 00:00:00 UTC,2.5223779732984175,0.0,27794318.580008384
2024-03-22 00:00:00 UTC,2.5400438209868317,0.0,31039052.059039444
2024-03-23 00:00:00 UTC,2.4936208725609883,0.0,22808627.402322277
2024-03-24 00:00:00 UTC,2.462441053611739,0.0,41969943.73419037
2024-03-25 00:00:00 UTC,2.5119269520037544,0.0,6266780.02632773
2024-03-26 00:00:00 UTC,2.5171853163629385,0.0,30791642.33066589
2024-03-27 00:00:00 UTC,2.5292263387668776,0.0,17246102.731002584
2024-03-28 00:00:00 UTC,2.5160901226740813,0.0,9767575.018107211
2024-03-29 00:00:00 UTC,2.5348751677486887,0.0,12284719.3307518
2024-03-30 00:00:00 UTC,2.5114974539881345,0.0,14892921.381181214
2024-03-31 00:00:00 UTC,2.5384355236989515,0.0,10024973.50721127
2024-04-01 00:00:00 UTC,2.5366369503910393,0.0,9229644.430314928
