date,GT_open,GT_high,GT_low,GT_close,GT_volume_usd,GT_liquidity_usd,GT_market_cap_usd,CG_price_sol,CG_volume_sol,CG_market_cap_sol
2025-05-22,4.62147795052022,4.701797872417157,4.605521955291034,4.695758173865639,7272871.920044997,9265971.2254,1652057147.67675,,,
2025-05-21,4.5422878617436,4.65830505159275,4.51194801290585,4.62147795052022,15789316.129426,9265971.2254,1652057147.67675,,,
2025-05-20,4.53941562020473,4.61408365730397,4.4873401792751,4.5422878617436,14379508.5490047,9265971.2254,1652057147.67675,0.0271810019559518,515007.66290059104,9507084.980456734
2025-05-19,4.594876881179,4.60358250541582,4.39645055852575,4.53941562020473,14354756.1601005,9265971.2254,1652057147.67675,0.0266697347711967,377247.6913691775,9321639.425038334
2025-05-18,4.4979568158853,4.64907375216611,4.45755592596566,4.594876881179,11355062.9838635,9265971.2254,1652057147.67675,0.02708041513893,344520.4727831061,9458350.974844374
2025-05-17,4.52215743530634,4.55322538579739,4.46551028906558,4.4979568158853,11405441.2943162,9265971.2254,1652057147.67675,0.0269535290823762,438228.6652838846,9426633.813859234
2025-05-16,4.54031488490081,4.61003374341055,4.50025938340753,4.52215743530634,13630147.6006116,9265971.2254,1652057147.67675,0.0269030299548676,534763.802020635,9367085.297496954
2025-05-15,4.62825419235063,4.65171848637042,4.492635353967,4.54031488490081,17604689.1580225,9265971.2254,1652057147.67675,0.0261778119535583,508164.474381041,9126705.69682738
2025-05-14,4.71468430366027,4.72821223697831,4.57155954165118,4.62825419235063,13214200.2653825,9265971.2254,1652057147.67675,0.0256130003684898,550608.122915787,8896019.783763085
2025-05-13,4.5778394877466,4.72758454903074,4.47170239564064,4.71468430366027,17777387.0800228,9265971.2254,1652057147.67675,0.0262024335709081,1075572.5214811529,9136484.099836346
2025-05-12,4.5585943133695,4.66931659598837,4.47132715883094,4.5778394877466,23769870.9664159,9265971.2254,1652057147.67675,0.0263853509874032,620360.5852955913,9246133.227825094
2025-05-11,4.62704630727974,4.65649180862696,4.49572617471251,4.5585943133695,13704324.5726247,9265971.2254,1652057147.67675,0.0260569029713365,611990.1303055927,9266046.923933854
2025-05-10,4.53600774232389,4.64770151557787,4.45557418567255,4.62704630727974,8166658.23251779,9265971.2254,1652057147.67675,0.026183558281074,705892.2481828921,9392827.540821884
2025-05-09,4.39578702237963,4.57508362221891,4.36427708951538,4.53600774232389,19872575.5713058,9265971.2254,1652057147.67675,0.0268938405271396,515812.35847028944,9808151.721736006
2025-05-08,4.11697251176218,4.41879959039601,4.10359250633783,4.39578702237963,11446083.423513,9265971.2254,1652057147.67675,0.0279445580340939,281023.6518906651,10344760.408030098
2025-05-07,4.10392800107263,4.15054339045576,4.06678237309762,4.11697251176218,8651679.34677634,9265971.2254,1652057147.67675,0.0279402316472462,231753.38640427848,10349757.673599908
2025-05-06,4.10239221630088,4.10785361159045,4.0169547520526,4.10392800107263,6786297.51991422,9265971.2254,1652057147.67675,0.0278885730162122,207353.09737041296,10376657.686362134
2025-05-05,4.060889508949,4.11655449592766,4.03548334752312,4.10239221630088,7050110.71851209,9265971.2254,1652057147.67675,0.028227263923452,176222.55083944707,10477961.959645152
2025-05-04,4.11299380661458,4.12470768244241,4.05123879335796,4.060889508949,4041865.61461631,9265971.2254,1652057147.67675,0.0279636857263387,145797.32292831995,10382392.292523064
2025-05-03,4.12144663710386,4.14422543990314,4.08907898320546,4.11299380661458,3336581.47328021,9265971.2254,1652057147.67675,0.0278870836257504,261010.0613389542,10346083.623157386
2025-05-02,4.15613128098889,4.18202996750581,4.11322991185982,4.12144663710386,6454159.77956624,9265971.2254,1652057147.67675,0.0275576969803605,235647.0473644468,10233606.728810431
2025-05-01,4.09785692382946,4.19856657430998,4.08964590363195,4.15613128098889,6144235.44677688,9265971.2254,1652057147.67675,0.0277359281740257,305596.7610865577,10282704.214421185
2025-04-30,4.08101521651023,4.11189971692695,3.99445991165714,4.09785692382946,12272310.3961021,9265971.2254,1652057147.67675,0.0278782045654506,317437.9293582795,10332653.881934218
2025-04-29,4.10069319388971,4.13494845072182,4.04750559241706,4.08101521651023,11304662.4530676,9265971.2254,1652057147.67675,0.0277014333919528,463230.3984431726,10266040.729768846
2025-04-28,4.10549741065241,4.18281638210193,4.04550690981267,4.10069319388971,17418587.2017611,9265971.2254,1652057147.67675,0.0276606279603973,230017.4220392496,10008639.774907771
2025-04-27,4.11592935647478,4.1541951828703,4.07076963756028,4.10549741065241,9298175.85740736,9265971.2254,1652057147.67675,0.0276024471255337,213961.30832932767,9987211.665315503
