date,totalLiquidityUSD
2023-09-20 00:00:00,4903516942.2724
2023-09-21 00:00:00,4769901828.8471
2023-09-22 00:00:00,4644894074.53955
2023-09-23 00:00:00,4675207211.68322
2023-09-24 00:00:00,4695039218.85909
2023-09-25 00:00:00,4659970756.05487
2023-09-26 00:00:00,4640984191.7037
2023-09-27 00:00:00,4618588524.90403
2023-09-28 00:00:00,4539907540.92433
2023-09-29 00:00:00,4684202635.31749
2023-09-30 00:00:00,4606435318.66012
2023-10-01 00:00:00,4611389412.40909
2023-10-02 00:00:00,4751174135.10289
2023-10-03 00:00:00,4561101149.90601
2023-10-04 00:00:00,4500057726.81783
2023-10-05 00:00:00,4490235180.90731
2023-10-06 00:00:00,4411303198.65768
2023-10-07 00:00:00,4487023545.56383
2023-10-08 00:00:00,4459722249.06382
2023-10-09 00:00:00,4452588526.06094
2023-10-10 00:00:00,4346614250.97634
2023-10-11 00:00:00,4306701177.99035
2023-10-12 00:00:00,4293188055.12747
2023-10-13 00:00:00,4107805468.93317
2023-10-14 00:00:00,4330606131.55654
2023-10-15 00:00:00,4357456248.71472
2023-10-16 00:00:00,4370847907.68526
2023-10-17 00:00:00,4472681898.80028
2023-10-18 00:00:00,4387933933.10875
2023-10-19 00:00:00,4154232215.59435
2023-10-20 00:00:00,4203873377.5355
2023-10-21 00:00:00,4298824951.86504
2023-10-22 00:00:00,4349788301.60984
2023-10-23 00:00:00,4624177709.66559
2023-10-24 00:00:00,4796525610.20272
2023-10-25 00:00:00,4766667540.13623
2023-10-26 00:00:00,4836050623.09555
2023-10-27 00:00:00,4847920729.14986
2023-10-28 00:00:00,4802226680.27131
2023-10-29 00:00:00,4769807368.65066
2023-10-30 00:00:00,4797127856.86365
2023-10-31 00:00:00,4921828366.40163
2023-11-01 00:00:00,4897418940.66915
2023-11-02 00:00:00,4882675612.58778
2023-11-03 00:00:00,4895413880.42759
2023-11-04 00:00:00,4887326443.41704
2023-11-05 00:00:00,5124952526.34405
2023-11-06 00:00:00,5107965367.09656
2023-11-07 00:00:00,5182223537.24658
2023-11-08 00:00:00,5144515310.20643
2023-11-09 00:00:00,5114729416.9143
2023-11-10 00:00:00,5582086671.36618
2023-11-11 00:00:00,5490356273.46743
2023-11-12 00:00:00,5342303882.52857
2023-11-13 00:00:00,5322600845.24505
2023-11-14 00:00:00,5365745531.0978
2023-11-15 00:00:00,5291717146.66213
2023-11-16 00:00:00,5449415541.50953
2023-11-17 00:00:00,5254328179.49181
2023-11-18 00:00:00,5319962847.17438
2023-11-19 00:00:00,5430702653.84987
2023-11-20 00:00:00,5666942850.15779
2023-11-21 00:00:00,5696207442.29002
2023-11-22 00:00:00,5304231337.78305
2023-11-23 00:00:00,5585000074.78245
2023-11-24 00:00:00,5581887678.93412
2023-11-25 00:00:00,5643068831.883
2023-11-26 00:00:00,5611753748.44497
2023-11-27 00:00:00,5596775744.45516
2023-11-28 00:00:00,5493259497.02315
2023-11-29 00:00:00,5530737303.68269
2023-11-30 00:00:00,5475981157.71393
2023-12-01 00:00:00,5509190538.36229
2023-12-02 00:00:00,5538223679.275
2023-12-03 00:00:00,5696652807.09333
2023-12-04 00:00:00,5789840754.47791
2023-12-05 00:00:00,5863283237.65297
2023-12-06 00:00:00,5982279647.07847
2023-12-07 00:00:00,5868175102.18133
2023-12-08 00:00:00,6151332030.3952
2023-12-09 00:00:00,6172692290.59665
2023-12-10 00:00:00,6075789545.97928
2023-12-11 00:00:00,5849994581.71553
2023-12-12 00:00:00,5768265278.93522
2023-12-13 00:00:00,5647133498.8488
2023-12-14 00:00:00,5834225095.25033
2023-12-15 00:00:00,6095551964.58221
2023-12-16 00:00:00,5781436276.65643
2023-12-17 00:00:00,5874767209.14551
2023-12-18 00:00:00,5911302231.6083
2023-12-19 00:00:00,5812232508.67939
2023-12-20 00:00:00,5855372282.49539
2023-12-21 00:00:00,5752820255.19373
2023-12-22 00:00:00,5815184574.28459
2023-12-23 00:00:00,6031289113.77096
2023-12-24 00:00:00,6002408771.90539
2023-12-25 00:00:00,5915055908.44373
2023-12-26 00:00:00,5894387801.25486
2023-12-27 00:00:00,5768899616.96823
2023-12-28 00:00:00,6016980065.68128
2023-12-29 00:00:00,5911036705.81867
2023-12-30 00:00:00,5778918093.35619
2023-12-31 00:00:00,5726152714.80762
2024-01-01 00:00:00,5673935071.15965
2024-01-02 00:00:00,6082622097.59285
2024-01-03 00:00:00,6056322428.64729
2024-01-04 00:00:00,5701679282.86585
2024-01-05 00:00:00,5800389824.90718
2024-01-06 00:00:00,5778191009.89462
2024-01-07 00:00:00,5722297140.26687
2024-01-08 00:00:00,5665761100.27962
2024-01-09 00:00:00,5969709720.89753
2024-01-10 00:00:00,5929188267.59446
2024-01-11 00:00:00,6487660828.30817
2024-01-12 00:00:00,6481241620.65687
2024-01-13 00:00:00,6180011069.47008
2024-01-14 00:00:00,6268817660.73
2024-01-15 00:00:00,6060742089.54318
2024-01-16 00:00:00,6131720813.96276
2024-01-17 00:00:00,6263853832.15783
2024-01-18 00:00:00,6201251286.65313
2024-01-19 00:00:00,6241704363.75281
2024-01-20 00:00:00,6314141073.8998
2024-01-21 00:00:00,6297901674.87692
2024-01-22 00:00:00,6287301317.76901
2024-01-23 00:00:00,5991090020.00812
2024-01-24 00:00:00,5825326308.2281
2024-01-25 00:00:00,5706921012.40696
2024-01-26 00:00:00,5691647522.56633
2024-01-27 00:00:00,5860096909.31739
2024-01-28 00:00:00,5860346719.52863
2024-01-29 00:00:00,5822783882.17373
2024-01-30 00:00:00,5909531561.65869
2024-01-31 00:00:00,5816363538.10687
2024-02-01 00:00:00,5518013855.8243
2024-02-02 00:00:00,5584623406.72907
2024-02-03 00:00:00,5575854352.0612
2024-02-04 00:00:00,5591220812.35336
2024-02-05 00:00:00,5569692549.52763
2024-02-06 00:00:00,5588612551.76797
2024-02-07 00:00:00,5849831901.8397
2024-02-08 00:00:00,5809097679.34782
2024-02-09 00:00:00,5801705893.19957
2024-02-10 00:00:00,5988224563.45487
2024-02-11 00:00:00,6025738916.59454
2024-02-12 00:00:00,6040709802.11487
2024-02-13 00:00:00,6195896544.39902
2024-02-14 00:00:00,5791735443.53808
2024-02-15 00:00:00,6087689579.0624
2024-02-16 00:00:00,6111140093.72856
2024-02-17 00:00:00,6057975965.28523
2024-02-18 00:00:00,6028950317.4863
2024-02-19 00:00:00,6223831132.93573
2024-02-20 00:00:00,6495516742.35327
2024-02-21 00:00:00,6543695756.95789
2024-02-22 00:00:00,6553604688.07128
2024-02-23 00:00:00,6623774326.645
2024-02-24 00:00:00,6342246431.70949
2024-02-25 00:00:00,6465407173.50582
2024-02-26 00:00:00,6541605016.74192
2024-02-27 00:00:00,6659955271.74702
2024-02-28 00:00:00,6842528552.17543
2024-02-29 00:00:00,7038207414.00876
2024-03-01 00:00:00,6856701273.83988
2024-03-02 00:00:00,7039317732.95457
2024-03-03 00:00:00,6918398607.13941
2024-03-04 00:00:00,7055797743.08723
2024-03-05 00:00:00,7376645568.61362
2024-03-06 00:00:00,7262433474.53123
2024-03-07 00:00:00,7970994449.16053
2024-03-08 00:00:00,7918234551.74333
2024-03-09 00:00:00,8138680573.17731
2024-03-10 00:00:00,8136449089.19178
2024-03-11 00:00:00,8225932873.16561
2024-03-12 00:00:00,8663041217.33615
2024-03-13 00:00:00,8514769130.91626
2024-03-14 00:00:00,8072620479.5378
2024-03-15 00:00:00,7890642123.06791
2024-03-16 00:00:00,7809578465.64485
2024-03-17 00:00:00,7431850722.84263
