timestamp,open,high,low,close,volume,pair,bid,ask,spread
2023-05-11,80.93,81.97,78.37,80.88,787875.496,LTC/USDT,97.85,97.86,0.010000000000005116
2023-05-12,80.89,81.48,77.07,80.45,770849.129,LTC/USDT,97.85,97.86,0.010000000000005116
2023-05-13,80.45,81.09,79.78,80.26,378311.771,LTC/USDT,97.86,97.87,0.010000000000005116
2023-05-14,80.26,84.02,79.55,83.5,475081.378,LTC/USDT,97.86,97.87,0.010000000000005116
2023-05-15,83.49,88.5,82.14,86.89,1110552.095,LTC/USDT,97.86,97.87,0.010000000000005116
2023-05-16,86.91,90.55,86.13,89.99,1212427.879,LTC/USDT,97.85,97.86,0.010000000000005116
2023-05-17,89.99,95.0,89.59,93.88,1631954.238,LTC/USDT,97.89,97.9,0.010000000000005116
2023-05-18,93.88,94.21,89.15,90.43,778910.547,LTC/USDT,97.89,97.9,0.010000000000005116
2023-05-19,90.44,93.31,90.26,91.8,674615.432,LTC/USDT,97.9,97.91,0.009999999999990905
2023-05-20,91.78,92.78,90.21,92.42,331961.718,LTC/USDT,97.9,97.91,0.009999999999990905
2023-05-21,92.41,93.49,91.14,92.18,434485.442,LTC/USDT,97.91,97.92,0.010000000000005116
2023-05-22,92.17,92.79,89.81,90.83,462506.227,LTC/USDT,97.93,97.94,0.009999999999990905
2023-05-23,90.83,93.11,90.38,91.7,437608.283,LTC/USDT,97.93,97.94,0.009999999999990905
2023-05-24,91.7,91.89,84.33,85.82,1241381.96,LTC/USDT,97.95,97.96,0.009999999999990905
2023-05-25,85.83,86.79,82.54,86.57,836219.141,LTC/USDT,97.95,97.96,0.009999999999990905
2023-05-26,86.57,88.2,86.05,87.08,684744.479,LTC/USDT,97.98,97.99,0.009999999999990905
2023-05-27,87.08,88.81,86.91,88.55,335522.417,LTC/USDT,97.98,97.99,0.009999999999990905
2023-05-28,88.56,92.35,88.14,91.45,582851.729,LTC/USDT,97.96,97.97,0.010000000000005116
2023-05-29,91.46,92.18,90.12,90.86,484868.109,LTC/USDT,97.92,97.93,0.010000000000005116
2023-05-30,90.86,93.3,90.51,92.25,553236.455,LTC/USDT,97.92,97.93,0.010000000000005116
2023-05-31,92.25,92.72,87.5,90.42,730322.072,LTC/USDT,97.95,97.96,0.009999999999990905
2023-06-01,90.42,95.98,89.17,94.19,1356811.01,LTC/USDT,97.95,97.96,0.009999999999990905
2023-06-02,94.17,95.7,92.58,95.45,714015.964,LTC/USDT,97.96,97.97,0.010000000000005116
2023-06-03,95.45,97.56,94.15,96.03,596590.884,LTC/USDT,97.95,97.96,0.009999999999990905
2023-06-04,96.03,96.5,93.8,94.19,492464.068,LTC/USDT,97.95,97.96,0.009999999999990905
2023-06-05,94.19,94.58,83.56,87.71,1320394.36,LTC/USDT,97.98,97.99,0.009999999999990905
2023-06-06,87.7,91.47,85.64,90.92,836859.771,LTC/USDT,97.99,98.0,0.010000000000005116
2023-06-07,90.93,91.31,87.34,88.85,691677.146,LTC/USDT,97.99,98.0,0.010000000000005116
2023-06-08,88.83,89.53,87.19,88.5,405790.611,LTC/USDT,98.0,98.01,0.010000000000005116
2023-06-09,88.49,89.98,86.66,89.3,437545.529,LTC/USDT,98.0,98.01,0.010000000000005116
2023-06-10,89.3,89.34,73.56,77.13,1931078.315,LTC/USDT,98.0,98.01,0.010000000000005116
2023-06-11,77.14,78.98,76.15,77.68,601244.43,LTC/USDT,97.99,98.0,0.010000000000005116
2023-06-12,77.68,77.91,75.07,77.5,624473.429,LTC/USDT,97.99,98.0,0.010000000000005116
2023-06-13,77.5,79.79,76.26,77.5,560306.834,LTC/USDT,97.99,98.0,0.010000000000005116
2023-06-14,77.5,78.14,70.75,73.15,678793.191,LTC/USDT,97.99,98.0,0.010000000000005116
2023-06-15,73.15,75.14,72.08,74.6,512970.921,LTC/USDT,97.99,98.0,0.010000000000005116
2023-06-16,74.61,76.91,74.12,76.13,419230.737,LTC/USDT,97.99,98.0,0.010000000000005116
2023-06-17,76.13,77.87,75.73,76.86,301798.536,LTC/USDT,97.99,98.0,0.010000000000005116
2023-06-18,76.87,78.47,76.22,77.19,294006.387,LTC/USDT,98.01,98.02,0.009999999999990905
2023-06-19,77.2,77.83,76.05,77.48,316595.527,LTC/USDT,98.01,98.02,0.009999999999990905
2023-06-20,77.48,80.95,75.68,80.33,550346.966,LTC/USDT,98.01,98.02,0.009999999999990905
2023-06-21,80.34,87.4,80.0,85.05,1229357.89,LTC/USDT,98.02,98.03,0.010000000000005116
2023-06-22,85.04,88.85,84.0,85.93,796900.675,LTC/USDT,98.02,98.03,0.010000000000005116
2023-06-23,85.94,93.12,85.02,91.26,1034513.877,LTC/USDT,98.05,98.06,0.010000000000005116
2023-06-24,91.28,93.8,86.35,89.71,834154.053,LTC/USDT,98.06,98.07,0.009999999999990905
2023-06-25,89.72,90.46,86.6,88.2,566508.551,LTC/USDT,98.06,98.07,0.009999999999990905
2023-06-26,88.2,90.35,85.74,87.21,656513.038,LTC/USDT,98.06,98.07,0.009999999999990905
2023-06-27,87.22,89.44,86.9,88.07,470344.953,LTC/USDT,98.06,98.07,0.009999999999990905
2023-06-28,88.06,88.1,81.36,83.02,639774.735,LTC/USDT,98.07,98.08,0.010000000000005116
2023-06-29,83.01,85.75,82.91,84.73,484623.807,LTC/USDT,98.09,98.1,0.009999999999990905
2023-06-30,84.73,112.0,84.28,108.7,5474715.293,LTC/USDT,98.09,98.1,0.009999999999990905
2023-07-01,108.7,113.0,102.86,107.1,2614144.4,LTC/USDT,98.14,98.15,0.010000000000005116
2023-07-02,107.1,114.0,105.09,113.58,2299237.775,LTC/USDT,98.14,98.15,0.010000000000005116
2023-07-03,113.57,115.0,105.55,107.27,1444586.945,LTC/USDT,98.16,98.17,0.010000000000005116
2023-07-04,107.27,109.59,103.5,104.27,935566.37,LTC/USDT,98.16,98.17,0.010000000000005116
2023-07-05,104.27,106.63,98.6,102.6,1410427.816,LTC/USDT,98.12,98.13,0.009999999999990905
2023-07-06,102.6,105.95,95.14,95.25,1703635.889,LTC/USDT,98.13,98.14,0.010000000000005116
2023-07-07,95.25,98.61,94.21,98.23,866824.098,LTC/USDT,98.13,98.14,0.010000000000005116
2023-07-08,98.22,98.49,96.55,97.79,431026.029,LTC/USDT,98.11,98.12,0.010000000000005116
2023-07-09,97.78,98.41,94.41,95.08,468670.42,LTC/USDT,98.1,98.11,0.010000000000005116
2023-07-10,95.08,97.81,91.62,96.72,1108435.576,LTC/USDT,98.11,98.12,0.010000000000005116
2023-07-11,96.73,98.35,95.51,96.77,775748.275,LTC/USDT,98.11,98.12,0.010000000000005116
2023-07-12,96.76,97.85,94.12,96.21,681194.17,LTC/USDT,98.1,98.11,0.010000000000005116
2023-07-13,96.21,104.41,95.61,101.85,1780959.223,LTC/USDT,98.1,98.11,0.010000000000005116
2023-07-14,101.85,103.63,91.96,95.13,1470606.515,LTC/USDT,98.1,98.11,0.010000000000005116
2023-07-15,95.12,95.79,93.74,94.78,474351.647,LTC/USDT,98.12,98.13,0.009999999999990905
2023-07-16,94.77,95.36,91.84,92.89,493219.168,LTC/USDT,98.12,98.13,0.009999999999990905
2023-07-17,92.89,93.58,89.15,92.2,825195.015,LTC/USDT,98.13,98.14,0.010000000000005116
2023-07-18,92.19,92.95,89.37,91.56,547028.221,LTC/USDT,98.14,98.15,0.010000000000005116
2023-07-19,91.55,94.23,91.39,91.99,610568.712,LTC/USDT,98.14,98.15,0.010000000000005116
2023-07-20,92.0,95.02,91.39,92.37,763855.203,LTC/USDT,98.08,98.09,0.010000000000005116
2023-07-21,92.37,94.79,91.68,94.09,562398.104,LTC/USDT,98.07,98.08,0.010000000000005116
2023-07-22,94.1,96.46,91.2,92.09,523224.177,LTC/USDT,98.07,98.08,0.010000000000005116
2023-07-23,92.09,93.62,91.52,93.16,459296.754,LTC/USDT,98.12,98.13,0.009999999999990905
2023-07-24,93.15,93.43,87.27,89.14,744271.418,LTC/USDT,98.11,98.12,0.010000000000005116
2023-07-25,89.14,90.19,88.55,89.45,437773.574,LTC/USDT,98.11,98.12,0.010000000000005116
2023-07-26,89.45,91.17,88.5,90.64,523849.498,LTC/USDT,98.09,98.1,0.009999999999990905
2023-07-27,90.63,91.99,89.66,90.6,492615.117,LTC/USDT,98.13,98.14,0.010000000000005116
2023-07-28,90.59,92.0,90.53,91.44,400613.116,LTC/USDT,98.12,98.13,0.009999999999990905
2023-07-29,91.44,94.9,90.84,94.32,483778.285,LTC/USDT,98.12,98.13,0.009999999999990905
2023-07-30,94.33,96.18,90.82,94.03,1123107.136,LTC/USDT,98.09,98.1,0.009999999999990905
2023-07-31,94.03,95.06,91.07,92.28,751748.352,LTC/USDT,98.09,98.1,0.009999999999990905
2023-08-01,92.28,94.12,88.1,93.94,1191154.381,LTC/USDT,98.13,98.14,0.010000000000005116
2023-08-02,93.95,94.68,85.7,87.54,1519927.122,LTC/USDT,98.16,98.17,0.010000000000005116
2023-08-03,87.53,88.38,80.5,82.55,1131674.185,LTC/USDT,98.16,98.17,0.010000000000005116
2023-08-04,82.55,83.92,80.74,82.2,956964.968,LTC/USDT,98.15,98.16,0.009999999999990905
2023-08-05,82.2,83.42,81.35,83.12,353881.791,LTC/USDT,98.15,98.16,0.009999999999990905
2023-08-06,83.11,83.49,81.68,82.57,376251.971,LTC/USDT,98.15,98.16,0.009999999999990905
2023-08-07,82.57,83.44,79.29,82.49,531623.828,LTC/USDT,98.13,98.14,0.010000000000005116
2023-08-08,82.48,85.47,81.75,83.86,735916.528,LTC/USDT,98.13,98.14,0.010000000000005116
2023-08-09,83.85,84.61,83.13,84.08,381592.396,LTC/USDT,98.13,98.14,0.010000000000005116
2023-08-10,84.08,84.39,82.66,83.14,337566.353,LTC/USDT,98.12,98.13,0.009999999999990905
2023-08-11,83.13,83.72,82.68,83.58,186712.308,LTC/USDT,98.12,98.13,0.009999999999990905
2023-08-12,83.58,84.0,83.27,83.47,178561.007,LTC/USDT,98.13,98.14,0.010000000000005116
2023-08-13,83.48,83.81,81.01,81.92,331226.641,LTC/USDT,98.13,98.14,0.010000000000005116
2023-08-14,81.92,83.13,81.5,82.11,330529.723,LTC/USDT,98.13,98.14,0.010000000000005116
2023-08-15,82.11,82.25,77.0,79.26,600119.042,LTC/USDT,98.16,98.17,0.010000000000005116
2023-08-16,79.27,79.61,72.75,74.56,1050727.642,LTC/USDT,98.16,98.17,0.010000000000005116
2023-08-17,74.57,75.84,56.0,64.77,1709946.722,LTC/USDT,98.14,98.15,0.010000000000005116
2023-08-18,64.77,65.97,63.04,63.98,1283276.079,LTC/USDT,98.14,98.15,0.010000000000005116
2023-08-19,63.98,65.01,63.51,64.18,511070.915,LTC/USDT,98.16,98.17,0.010000000000005116
2023-08-20,64.17,65.89,63.98,65.25,328241.945,LTC/USDT,98.16,98.17,0.010000000000005116
2023-08-21,65.25,67.31,64.34,67.0,795770.097,LTC/USDT,98.18,98.19,0.009999999999990905
2023-08-22,67.0,67.38,62.02,64.83,726834.414,LTC/USDT,98.15,98.16,0.009999999999990905
2023-08-23,64.83,66.86,64.06,65.64,548642.362,LTC/USDT,98.15,98.16,0.009999999999990905
2023-08-24,65.63,65.9,63.9,64.88,352946.421,LTC/USDT,98.15,98.16,0.009999999999990905
2023-08-25,64.88,65.47,63.5,65.13,400427.672,LTC/USDT,98.15,98.16,0.009999999999990905
2023-08-26,65.13,65.59,64.9,65.01,205559.917,LTC/USDT,98.15,98.16,0.009999999999990905
2023-08-27,65.0,65.95,64.83,65.39,232033.928,LTC/USDT,98.11,98.12,0.010000000000005116
2023-08-28,65.39,65.76,63.97,65.52,401983.007,LTC/USDT,98.07,98.08,0.010000000000005116
2023-08-29,65.51,70.69,64.6,68.86,953145.162,LTC/USDT,98.07,98.08,0.010000000000005116
2023-08-30,68.85,69.03,66.5,67.65,422458.336,LTC/USDT,98.07,98.08,0.010000000000005116
2023-08-31,67.65,68.36,63.13,63.89,688058.059,LTC/USDT,98.07,98.08,0.010000000000005116
2023-09-01,63.88,64.25,61.83,62.98,569049.852,LTC/USDT,98.07,98.08,0.010000000000005116
2023-09-02,62.98,64.75,62.95,64.59,295503.141,LTC/USDT,98.1,98.11,0.010000000000005116
2023-09-03,64.58,64.91,63.57,63.93,257480.232,LTC/USDT,98.14,98.15,0.010000000000005116
2023-09-04,63.93,65.01,63.0,63.75,389301.433,LTC/USDT,98.14,98.15,0.010000000000005116
2023-09-05,63.75,63.79,62.58,63.15,475655.47,LTC/USDT,98.12,98.13,0.009999999999990905
2023-09-06,63.15,63.91,61.36,62.87,463879.229,LTC/USDT,98.12,98.13,0.009999999999990905
2023-09-07,62.88,64.49,62.48,63.71,372442.946,LTC/USDT,98.14,98.15,0.010000000000005116
2023-09-08,63.71,64.24,61.51,62.61,370397.71,LTC/USDT,98.13,98.14,0.010000000000005116
2023-09-09,62.6,63.3,62.52,63.06,153119.403,LTC/USDT,98.13,98.14,0.010000000000005116
2023-09-10,63.06,63.06,60.02,61.11,486962.352,LTC/USDT,98.1,98.11,0.010000000000005116
2023-09-11,61.12,61.66,57.68,58.85,792927.547,LTC/USDT,98.1,98.11,0.010000000000005116
2023-09-12,58.85,61.53,58.65,59.96,617319.813,LTC/USDT,98.07,98.08,0.010000000000005116
2023-09-13,59.96,62.85,59.63,61.98,511853.421,LTC/USDT,98.07,98.08,0.010000000000005116
2023-09-14,61.98,63.44,61.95,62.83,638084.848,LTC/USDT,98.07,98.08,0.010000000000005116
2023-09-15,62.83,66.27,62.55,65.89,540624.758,LTC/USDT,98.06,98.07,0.009999999999990905
2023-09-16,65.89,67.05,64.41,65.38,391265.329,LTC/USDT,98.06,98.07,0.009999999999990905
2023-09-17,65.38,65.42,62.75,63.55,497205.276,LTC/USDT,98.06,98.07,0.009999999999990905
2023-09-18,63.57,67.9,62.9,65.89,790412.337,LTC/USDT,98.05,98.06,0.010000000000005116
2023-09-19,65.87,68.41,65.59,67.28,527023.356,LTC/USDT,98.05,98.06,0.010000000000005116
2023-09-20,67.28,67.87,63.24,64.55,931126.906,LTC/USDT,98.03,98.04,0.010000000000005116
2023-09-21,64.55,65.01,62.92,64.69,449081.78,LTC/USDT,98.03,98.04,0.010000000000005116
2023-09-22,64.69,65.88,63.89,64.37,442545.403,LTC/USDT,98.02,98.03,0.010000000000005116
2023-09-23,64.37,65.26,64.37,65.07,387901.571,LTC/USDT,98.01,98.02,0.009999999999990905
2023-09-24,65.06,65.1,63.25,63.58,207773.25,LTC/USDT,98.01,98.02,0.009999999999990905
2023-09-25,63.58,65.06,62.56,64.33,258415.693,LTC/USDT,98.03,98.04,0.010000000000005116
2023-09-26,64.34,65.08,63.02,63.8,371056.263,LTC/USDT,98.03,98.04,0.010000000000005116
2023-09-27,63.8,65.56,63.04,63.53,351266.028,LTC/USDT,98.07,98.08,0.010000000000005116
2023-09-28,63.53,65.54,63.14,65.21,446339.742,LTC/USDT,98.07,98.08,0.010000000000005116
2023-09-29,65.22,66.5,64.91,65.55,350400.956,LTC/USDT,98.07,98.08,0.010000000000005116
2023-09-30,65.55,66.6,65.34,65.97,179434.202,LTC/USDT,98.07,98.08,0.010000000000005116
2023-10-01,65.98,68.85,65.83,68.19,430058.027,LTC/USDT,98.07,98.08,0.010000000000005116
2023-10-02,68.19,68.42,65.11,65.97,558987.867,LTC/USDT,98.1,98.11,0.010000000000005116
2023-10-03,65.98,66.93,65.26,65.5,264841.857,LTC/USDT,98.13,98.14,0.010000000000005116
2023-10-04,65.5,65.52,63.01,64.4,389378.985,LTC/USDT,98.13,98.14,0.010000000000005116
2023-10-05,64.39,65.28,63.72,64.8,371850.64,LTC/USDT,98.13,98.14,0.010000000000005116
2023-10-06,64.81,65.98,64.37,65.5,258989.347,LTC/USDT,98.12,98.13,0.009999999999990905
2023-10-07,65.5,66.27,64.95,65.45,177304.899,LTC/USDT,98.14,98.15,0.010000000000005116
2023-10-08,65.45,65.98,64.97,65.34,316323.185,LTC/USDT,98.14,98.15,0.010000000000005116
2023-10-09,65.34,65.36,61.51,63.07,448896.385,LTC/USDT,98.16,98.17,0.010000000000005116
2023-10-10,63.07,63.82,62.57,63.61,234743.163,LTC/USDT,98.16,98.17,0.010000000000005116
2023-10-11,63.6,63.75,61.08,61.55,287049.191,LTC/USDT,98.16,98.17,0.010000000000005116
2023-10-12,61.55,61.55,60.33,61.12,285371.231,LTC/USDT,98.16,98.17,0.010000000000005116
2023-10-13,61.12,62.15,61.06,61.58,358112.195,LTC/USDT,98.16,98.17,0.010000000000005116
2023-10-14,61.58,61.97,61.39,61.62,121555.639,LTC/USDT,98.15,98.16,0.009999999999990905
2023-10-15,61.62,62.18,61.38,61.63,140207.935,LTC/USDT,98.13,98.14,0.010000000000005116
2023-10-16,61.63,66.33,61.57,63.19,679996.392,LTC/USDT,98.13,98.14,0.010000000000005116
2023-10-17,63.2,63.33,61.37,62.07,285933.96,LTC/USDT,98.11,98.12,0.010000000000005116
2023-10-18,62.06,62.85,60.04,60.23,320321.652,LTC/USDT,98.08,98.09,0.010000000000005116
2023-10-19,60.23,61.92,59.7,61.78,277475.09,LTC/USDT,98.1,98.11,0.010000000000005116
2023-10-20,61.77,64.27,61.57,63.38,437547.959,LTC/USDT,98.1,98.11,0.010000000000005116
2023-10-21,63.37,65.39,63.35,64.75,336999.659,LTC/USDT,98.13,98.14,0.010000000000005116
2023-10-22,64.75,66.32,63.12,65.26,569753.647,LTC/USDT,98.13,98.14,0.010000000000005116
2023-10-23,65.26,69.9,64.86,69.02,788986.444,LTC/USDT,98.14,98.15,0.010000000000005116
2023-10-24,69.02,72.89,67.07,69.15,927287.448,LTC/USDT,98.14,98.15,0.010000000000005116
2023-10-25,69.14,70.42,67.69,68.71,555761.144,LTC/USDT,98.16,98.17,0.010000000000005116
2023-10-26,68.7,70.63,66.13,68.76,594733.362,LTC/USDT,98.16,98.17,0.010000000000005116
2023-10-27,68.75,68.81,65.58,66.99,430964.8,LTC/USDT,98.16,98.17,0.010000000000005116
2023-10-28,66.99,68.44,66.93,67.73,393365.01,LTC/USDT,98.16,98.17,0.010000000000005116
2023-10-29,67.73,69.31,67.0,68.79,254650.085,LTC/USDT,98.18,98.19,0.009999999999990905
2023-10-30,68.79,69.79,67.62,69.21,391259.073,LTC/USDT,98.18,98.19,0.009999999999990905
2023-10-31,69.21,70.53,67.6,68.89,616209.44,LTC/USDT,98.18,98.19,0.009999999999990905
2023-11-01,68.89,70.46,66.51,69.97,758567.526,LTC/USDT,98.19,98.2,0.010000000000005116
2023-11-02,69.97,70.77,67.4,69.43,658461.347,LTC/USDT,98.19,98.2,0.010000000000005116
2023-11-03,69.42,69.58,67.5,69.45,366590.453,LTC/USDT,98.2,98.21,0.009999999999990905
2023-11-04,69.45,70.81,68.69,70.41,286371.778,LTC/USDT,98.19,98.2,0.010000000000005116
2023-11-05,70.41,72.32,69.9,71.6,604752.663,LTC/USDT,98.19,98.2,0.010000000000005116
2023-11-06,71.6,74.95,70.79,74.46,517587.681,LTC/USDT,98.19,98.2,0.010000000000005116
2023-11-07,74.46,74.57,71.06,73.41,587908.072,LTC/USDT,98.18,98.19,0.009999999999990905
2023-11-08,73.41,74.31,72.45,73.07,454113.58,LTC/USDT,98.19,98.2,0.010000000000005116
2023-11-09,73.06,76.23,67.85,73.83,1037301.535,LTC/USDT,98.15,98.16,0.009999999999990905
2023-11-10,73.85,75.48,70.67,73.28,659369.92,LTC/USDT,98.15,98.16,0.009999999999990905
2023-11-11,73.27,75.95,70.84,75.26,701397.299,LTC/USDT,98.16,98.17,0.010000000000005116
2023-11-12,75.26,76.79,72.12,74.88,759337.894,LTC/USDT,98.16,98.17,0.010000000000005116
2023-11-13,74.88,76.05,70.5,71.1,687416.727,LTC/USDT,98.16,98.17,0.010000000000005116
2023-11-14,71.1,72.56,68.09,70.61,612778.52,LTC/USDT,98.16,98.17,0.010000000000005116
2023-11-15,70.61,74.3,70.5,74.03,546364.964,LTC/USDT,98.16,98.17,0.010000000000005116
2023-11-16,74.02,74.35,69.78,70.97,516234.012,LTC/USDT,98.16,98.17,0.010000000000005116
2023-11-17,70.96,71.66,68.0,70.29,701059.335,LTC/USDT,98.16,98.17,0.010000000000005116
2023-11-18,70.28,70.33,67.5,69.86,319967.121,LTC/USDT,98.18,98.19,0.009999999999990905
2023-11-19,69.85,70.67,68.5,70.54,267656.397,LTC/USDT,98.18,98.19,0.009999999999990905
2023-11-20,70.56,71.02,68.62,69.51,363216.736,LTC/USDT,98.18,98.19,0.009999999999990905
2023-11-21,69.52,71.87,65.12,66.15,766319.59,LTC/USDT,98.19,98.2,0.010000000000005116
2023-11-22,66.15,69.15,65.96,68.7,411855.152,LTC/USDT,98.19,98.2,0.010000000000005116
2023-11-23,68.7,70.76,68.38,69.51,487505.593,LTC/USDT,98.2,98.21,0.009999999999990905
2023-11-24,69.51,71.77,69.43,70.73,431373.898,LTC/USDT,98.2,98.21,0.009999999999990905
2023-11-25,70.72,72.5,70.48,71.87,300567.558,LTC/USDT,98.2,98.21,0.009999999999990905
2023-11-26,71.87,71.87,68.91,70.03,373752.056,LTC/USDT,98.23,98.24,0.009999999999990905
2023-11-27,70.03,70.5,67.91,69.22,322130.627,LTC/USDT,98.23,98.24,0.009999999999990905
2023-11-28,69.22,70.27,67.81,69.77,633474.873,LTC/USDT,98.24,98.25,0.010000000000005116
2023-11-29,69.76,70.46,69.15,70.0,304678.502,LTC/USDT,98.24,98.25,0.010000000000005116
2023-11-30,69.99,70.15,69.11,69.42,212371.48,LTC/USDT,98.24,98.25,0.010000000000005116
2023-12-01,69.44,72.23,69.2,71.57,478440.251,LTC/USDT,98.25,98.26,0.010000000000005116
2023-12-02,71.57,72.72,71.16,72.2,286408.09,LTC/USDT,98.25,98.26,0.010000000000005116
2023-12-03,72.2,72.75,71.3,72.31,285246.303,LTC/USDT,98.26,98.27,0.009999999999990905
2023-12-04,72.31,75.07,71.89,72.93,1008230.995,LTC/USDT,98.27,98.28,0.010000000000005116
2023-12-05,72.92,74.37,71.0,74.34,543100.844,LTC/USDT,98.27,98.28,0.010000000000005116
2023-12-06,74.35,74.94,72.17,72.41,640078.051,LTC/USDT,98.26,98.27,0.009999999999990905
2023-12-07,72.4,74.51,71.82,74.02,564515.734,LTC/USDT,98.25,98.26,0.010000000000005116
2023-12-08,74.02,78.88,73.32,78.5,857419.485,LTC/USDT,98.25,98.26,0.010000000000005116
2023-12-09,78.49,79.53,75.52,76.32,736505.035,LTC/USDT,98.22,98.23,0.010000000000005116
2023-12-10,76.33,79.0,76.33,77.18,559666.195,LTC/USDT,98.23,98.24,0.009999999999990905
2023-12-11,77.17,77.5,70.46,72.67,988665.178,LTC/USDT,98.23,98.24,0.009999999999990905
2023-12-12,72.66,73.72,71.03,72.37,476918.626,LTC/USDT,98.23,98.24,0.009999999999990905
2023-12-13,72.38,75.55,70.15,73.12,716835.326,LTC/USDT,98.23,98.24,0.009999999999990905
2023-12-14,73.14,74.05,71.25,72.93,673631.561,LTC/USDT,98.23,98.24,0.009999999999990905
2023-12-15,72.93,72.96,70.52,70.93,388128.515,LTC/USDT,98.21,98.22,0.010000000000005116
2023-12-16,70.92,72.52,70.43,72.19,273166.636,LTC/USDT,98.21,98.22,0.010000000000005116
2023-12-17,72.18,73.63,70.86,71.18,405335.594,LTC/USDT,98.19,98.2,0.010000000000005116
2023-12-18,71.18,71.55,68.0,70.85,516602.696,LTC/USDT,98.22,98.23,0.010000000000005116
2023-12-19,70.86,71.66,69.69,70.73,342815.358,LTC/USDT,98.22,98.23,0.010000000000005116
2023-12-20,70.72,71.89,69.38,69.83,738447.841,LTC/USDT,98.21,98.22,0.010000000000005116
2023-12-21,69.83,71.09,68.92,70.93,581051.4,LTC/USDT,98.21,98.22,0.010000000000005116
2023-12-22,70.93,73.78,70.31,73.58,539144.649,LTC/USDT,98.2,98.21,0.009999999999990905
2023-12-23,73.58,74.09,70.7,72.45,472707.301,LTC/USDT,98.19,98.2,0.010000000000005116
